"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","213","Jhon Alexander PICON BOLAÑOS","15","Mx Pre-expertos","GasGas","Cesar","VIRUS RACING","","1:23.057","13","","18:48.298"
"2","53","Simón RESTREPO GUZMAN","13","Mx Pre-expertos","LGP Mobility","Antioquia","CLUB MOTOCROSS YARUMAL","11.716","1:21.324","13","","19:00.014"
"3","529","Esteban GONZALEZ LOPEZ","11","Mx Pre-expertos","Honda","Valle del Cauca","Club VALLE","18.442","1:22.903","13","","19:06.740"
"4","821-E","John Fredy Hernández Osorio","10","Mx Pre-expertos","Yamaha","Caldas","CLUB VILLAMARIA RACING CLUB","36.258","1:25.012","13","","19:24.556"
"5","227","Leonel giraldo jaramillo","9","Mx Pre-expertos","Yamaha","Tolima","GR 522 RACING","36.783","1:24.197","13","","19:25.081"
"6","29","Jeronimo PIEDRAHITA HINCAPIE","8","Mx Pre-expertos","Honda","Caldas","CLUB DE MOTOCICLISMO JP36","1:35.578","1:27.376","13","","20:23.876"
"7","811","SEBASTIAN LOPEZ MONCAYO","7","Mx Pre-expertos","Yamaha","Nariño","CLUB DEPORTIVO BUFALO XTREM","1 Vuelta","1:25.987","12","","18:53.217"
"8","269","Jhon santiago HERNANDEZ BERMUDEZ","6","Mx Pre-expertos","Husqvarna","Valle del Cauca","Carasucias","1 Vuelta","1:28.975","12","","19:22.142"
"9","336","DAVID ALEJANDRO IBARRA ECHEVERRY","5","Mx Pre-expertos","Unite Motor","Putumayo","CLUB EXTREME RACING","1 Vuelta","1:29.225","12","","19:38.892"
"10","612","Alejandro DIAZ GARCIA","4","Mx Pre-expertos","Yamaha","Valle del Cauca","Carasucias","1 Vuelta","1:31.756","12","","19:41.543"
"NT","454","Mateo ALVAREZ GONZALEZ","0","Mx Pre-expertos","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","NT","3:01.716","3","","15:22.455"
