"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","53","Simón RESTREPO GUZMAN","3","Mx Pre-expertos","LGP Mobility","Antioquia","CLUB MOTOCROSS YARUMAL","","1:19.816","7","","10:09.389"
"2","213","Jhon Alexander PICON BOLAÑOS","2","Mx Pre-expertos","GasGas","Cesar","VIRUS RACING","8.480","1:22.815","7","","10:17.869"
"3","529","Esteban GONZALEZ LOPEZ","1","Mx Pre-expertos","Honda","Valle del Cauca","Club VALLE","17.555","1:22.559","7","","10:26.944"
"4","821-E","John Fredy Hernández Osorio","1","Mx Pre-expertos","Yamaha","Caldas","CLUB VILLAMARIA RACING CLUB","18.106","1:23.973","7","","10:27.495"
"5","227","Leonel giraldo jaramillo","1","Mx Pre-expertos","Yamaha","Tolima","GR 522 RACING","18.581","1:22.368","7","","10:27.970"
"6","29","Jeronimo PIEDRAHITA HINCAPIE","1","Mx Pre-expertos","Honda","Caldas","CLUB DE MOTOCICLISMO JP36","32.577","1:25.949","7","","10:41.966"
"7","811","SEBASTIAN LOPEZ MONCAYO","1","Mx Pre-expertos","Yamaha","Nariño","CLUB DEPORTIVO BUFALO XTREM","36.661","1:25.522","7","","10:46.050"
"8","269","Jhon santiago HERNANDEZ BERMUDEZ","1","Mx Pre-expertos","Husqvarna","Valle del Cauca","Carasucias","49.342","1:27.216","7","","10:58.731"
"9","454","Mateo ALVAREZ GONZALEZ","1","Mx Pre-expertos","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","50.203","1:28.273","7","","10:59.592"
"10","612","Alejandro DIAZ GARCIA","1","Mx Pre-expertos","Yamaha","Valle del Cauca","Carasucias","1:10.532","1:28.802","7","","11:19.921"
"11","336","DAVID ALEJANDRO IBARRA ECHEVERRY","1","Mx Pre-expertos","Unite Motor","Putumayo","CLUB EXTREME RACING","2 Vueltas","1:28.572","5","","10:50.920"
