"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","837","JHOAN ANDRES BARRAGAN ALVAREZ","15","Mx 2","KTM","Putumayo","TEAM RACING MOCOA","","1:17.650","17","","23:12.409"
"2","114","Miguel Angel LOPEZ MARTINEZ","13","Mx 2","Husqvarna","Quindío","CLUB RUTEROS DEL QUINDIO","26.821","1:17.219","17","","23:39.230"
"3","54","Thomas ZULUAGA GIRALDO","11","Mx 2","Yamaha","Antioquia","CLUB GRILLOS RACING","1:04.848","1:21.042","17","","24:17.257"
"4","777","Euclides Antonio TORRES ROSALES","10","Mx 2","KTM","Bogotá D.C.","Xspeed Racing","1:06.927","1:21.793","17","","24:19.336"
"5","211","Yeison Alexander QUIÑONES RICO","9","Mx 2","Honda","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","1:14.605","1:21.674","17","","24:27.014"
"6","627","JERONIMO ROMAN VELASQUEZ","8","Mx 2","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","1 Vuelta","1:22.736","16","","24:01.239"
"7","710","Juan David MENDOZA DUARTE","7","Mx 2","Yamaha","Meta","VILLAVICENCIO RACING CLUB","1 Vuelta","1:23.888","16","","24:17.074"
"8","228","Jeronimo DAMELINES LOAIZA","6","Mx 2","Husqvarna","Risaralda","CLUB LOS GUEPARDOS","1 Vuelta","1:21.571","16","","24:34.844"
"9","107","Miguel Angel FLOREZ VALENCIA","5","Mx 2","Honda","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","1 Vuelta","1:27.343","16","","24:41.884"
"NT","141","Isabela VILLEGAS BRAND","0","Mx 2","Yamaha","Valle del Cauca","Team Potenza","NT","","","",""
"NT","529","Esteban GONZALEZ LOPEZ","0","Mx 2","Honda","Valle del Cauca","Club VALLE","NT","","","",""
