"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","114","Miguel Angel LOPEZ MARTINEZ","3","Mx 2","Husqvarna","Quindío","CLUB RUTEROS DEL QUINDIO","","1:16.166","8","","10:45.145"
"2","837","JHOAN ANDRES BARRAGAN ALVAREZ","2","Mx 2","KTM","Putumayo","TEAM RACING MOCOA","4.736","1:16.393","8","","10:49.881"
"3","211","Yeison Alexander QUIÑONES RICO","1","Mx 2","Honda","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","31.174","1:18.821","8","","11:16.319"
"4","777","Euclides Antonio TORRES ROSALES","1","Mx 2","KTM","Bogotá D.C.","Xspeed Racing","31.542","1:19.766","8","","11:16.687"
"5","54","Thomas ZULUAGA GIRALDO","1","Mx 2","Yamaha","Antioquia","CLUB GRILLOS RACING","37.021","1:18.707","8","","11:22.166"
"6","627","JERONIMO ROMAN VELASQUEZ","1","Mx 2","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","48.454","1:20.691","8","","11:33.599"
"7","228","Jeronimo DAMELINES LOAIZA","1","Mx 2","Husqvarna","Risaralda","CLUB LOS GUEPARDOS","51.347","1:19.244","8","","11:36.492"
"8","529","Esteban GONZALEZ LOPEZ","1","Mx 2","Honda","Valle del Cauca","Club VALLE","1:22.258","1:24.585","8","","12:07.403"
"9","107","Miguel Angel FLOREZ VALENCIA","1","Mx 2","Honda","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","1:22.925","1:23.847","8","","12:08.070"
"10","710","Juan David MENDOZA DUARTE","1","Mx 2","Yamaha","Meta","VILLAVICENCIO RACING CLUB","1 Vuelta","1:25.484","7","","10:56.006"
"11","141","Isabela VILLEGAS BRAND","1","Mx 2","Yamaha","Valle del Cauca","Team Potenza","2 Vueltas","1:28.534","6","","11:44.797"
