"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","837","JHOAN ANDRES BARRAGAN ALVAREZ","15","125 cc","Husqvarna","Putumayo","TEAM RACING MOCOA","","1:25.460","16","","23:51.771"
"2","777","Euclides Antonio TORRES ROSALES","13","125 cc","KTM","Bogotá D.C.","Xspeed Racing","4.458","1:26.137","16","","23:56.229"
"3","222","Maximiliano RAMIREZ RESTREPO","11","125 cc","Yamaha","Antioquia","STUNT FIVE","1:19.795","1:25.709","16","","25:11.566"
"4","113","Tomas VERGARA ARANZAZU","10","125 cc","Yamaha","Antioquia","CLUB MOTOCROSS DE YARUMAL","1:24.356","1:31.818","16","","25:16.127"
"5","710","Juan David MENDOZA DUARTE","9","125 cc","Yamaha","Meta","VILLAVICENCIO RACING CLUB","1:35.711","1:27.413","16","","25:27.482"
"6","321","Jorge Esteban VARGAS GONZALES","8","125 cc","Yamaha","Antioquia","CLUB MOTOCROSS DE YARUMAL","1 Vuelta","1:30.760","15","","24:13.581"
"7","281","Moises BETANCUR OCHOA","7","125 cc","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","1 Vuelta","1:29.359","15","","24:45.018"
"8","199","Nicolas Felipe REY REY","6","125 cc","KTM","Cundinamarca","CLUB IGUANA RACING GIRARDOT","1 Vuelta","1:27.653","15","","24:52.632"
"9","331","Juan Pablo CARMONA GIRALDO","5","125 cc","GasGas","Bogotá D.C.","Todo terreno track","1 Vuelta","1:34.276","15","","25:06.529"
"10","247","Martin Estrada Zapata","4","125 cc","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","2 Vueltas","1:29.049","14","","23:53.171"
"11","818-E","Santiago FERRO CASTRO","3","125 cc","Yamaha","Bogotá D.C.","Xspeed Racing","2 Vueltas","1:38.690","14","","25:16.126"
"12","454","Mateo ALVAREZ GONZALEZ","2","125 cc","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","3 Vueltas","1:26.980","13","","24:39.901"
"13","630","Samuel Andres PINTO DUARTE","1","125 cc","Yamaha","Meta","VILLAVICENCIO RACING CLUB","4 Vueltas","1:38.522","12","","24:23.956"
"14","184","Jose Alejandro MOYANO MORENO","1","125 cc","Beta","Cundinamarca","CLUB IGUANA RACING GIRARDOT","7 Vueltas","1:35.095","9","","24:26.085"
"NT","700","Maximiliano GUERRA ALVAREZ","0","125 cc","Yamaha","Antioquia","CLUB GRILLOS RACING","NT","1:33.889","13","","23:48.652"
"NE","114","Miguel Angel LOPEZ MARTINEZ","0","125 cc","Husqvarna","Quindío","CLUB RUTEROS DEL QUINDIO","NE","","","",""
"NE","36-2","Thomas PINEDA GONZALEZ","0","125 cc","Honda","Caldas","CLUB DE MOTOCICLISMO JP36","NE","","","",""
