"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","FN/RH","Q ","R1 ","R2 "
"1","837","JHOAN ANDRES BARRAGAN ALVAREZ","125 cc","33","0","Husqvarna","Putumayo","TEAM RACING MOCOA","","3","15","15"
"2","777","Euclides Antonio TORRES ROSALES","125 cc","28","5","KTM","Bogotá D.C.","Xspeed Racing","","2","13","13"
"3","113","Tomas VERGARA ARANZAZU","125 cc","20","13","Yamaha","Antioquia","CLUB MOTOCROSS DE YARUMAL","","1","9","10"
"4","710","Juan David MENDOZA DUARTE","125 cc","20","13","Yamaha","Meta","VILLAVICENCIO RACING CLUB","","1","10","9"
"5","321","Jorge Esteban VARGAS GONZALES","125 cc","17","16","Yamaha","Antioquia","CLUB MOTOCROSS DE YARUMAL","","1","8","8"
"6","222","Maximiliano RAMIREZ RESTREPO","125 cc","14","19","Yamaha","Antioquia","STUNT FIVE","","1","2","11"
"7","184","Jose Alejandro MOYANO MORENO","125 cc","13","20","Beta","Cundinamarca","CLUB IGUANA RACING GIRARDOT","","1","11","1"
"8","281","Moises BETANCUR OCHOA","125 cc","12","21","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","","1","4","7"
"9","199","Nicolas Felipe REY REY","125 cc","12","21","KTM","Cundinamarca","CLUB IGUANA RACING GIRARDOT","","1","5","6"
"10","247","Martin Estrada Zapata","125 cc","12","21","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","","1","7","4"
"11","818-E","Santiago FERRO CASTRO","125 cc","7","26","Yamaha","Bogotá D.C.","Xspeed Racing","","1","3","3"
"12","700","Maximiliano GUERRA ALVAREZ","125 cc","7","26","Yamaha","Antioquia","CLUB GRILLOS RACING","","1","6","0"
"13","331","Juan Pablo CARMONA GIRALDO","125 cc","6","27","GasGas","Bogotá D.C.","Todo terreno track","","0","1","5"
"14","454","Mateo ALVAREZ GONZALEZ","125 cc","4","29","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","","1","1","2"
"15","630","Samuel Andres PINTO DUARTE","125 cc","3","30","Yamaha","Meta","VILLAVICENCIO RACING CLUB","","1","1","1"
"NT","114","Miguel Angel LOPEZ MARTINEZ","125 cc","0","33","Husqvarna","Quindío","CLUB RUTEROS DEL QUINDIO","","0","0","0"
"NT","36-2","Thomas PINEDA GONZALEZ","125 cc","0","33","Honda","Caldas","CLUB DE MOTOCICLISMO JP36","","0","0","0"
