"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","837","JHOAN ANDRES BARRAGAN ALVAREZ","3","125 cc","Husqvarna","Putumayo","TEAM RACING MOCOA","","1:23.768","6","","8:49.906"
"2","777","Euclides Antonio TORRES ROSALES","2","125 cc","KTM","Bogotá D.C.","Xspeed Racing","2.867","1:24.012","6","","8:52.773"
"3","222","Maximiliano RAMIREZ RESTREPO","1","125 cc","Yamaha","Antioquia","STUNT FIVE","30.395","1:28.625","6","","9:20.301"
"4","321","Jorge Esteban VARGAS GONZALES","1","125 cc","Yamaha","Antioquia","CLUB MOTOCROSS DE YARUMAL","40.077","1:30.213","6","","9:29.983"
"5","710","Juan David MENDOZA DUARTE","1","125 cc","Yamaha","Meta","VILLAVICENCIO RACING CLUB","45.174","1:30.264","6","","9:35.080"
"6","113","Tomas VERGARA ARANZAZU","1","125 cc","Yamaha","Antioquia","CLUB MOTOCROSS DE YARUMAL","46.156","1:30.584","6","","9:36.062"
"7","199","Nicolas Felipe REY REY","1","125 cc","KTM","Cundinamarca","CLUB IGUANA RACING GIRARDOT","48.548","1:30.749","6","","9:38.454"
"8","281","Moises BETANCUR OCHOA","1","125 cc","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","49.502","1:30.685","6","","9:39.408"
"9","184","Jose Alejandro MOYANO MORENO","1","125 cc","Beta","Cundinamarca","CLUB IGUANA RACING GIRARDOT","51.221","1:30.758","6","","9:41.127"
"10","818-E","Santiago FERRO CASTRO","1","125 cc","Yamaha","Bogotá D.C.","Xspeed Racing","1:11.990","1:34.152","6","","10:01.896"
"11","247","Martin Estrada Zapata","1","125 cc","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","1:15.521","1:33.570","6","","10:05.427"
"12","630","Samuel Andres PINTO DUARTE","1","125 cc","Yamaha","Meta","VILLAVICENCIO RACING CLUB","1:28.690","1:33.983","6","","10:18.596"
"13","700","Maximiliano GUERRA ALVAREZ","1","125 cc","Yamaha","Antioquia","CLUB GRILLOS RACING","1:34.097","1:26.805","6","","10:24.003"
"14","454","Mateo ALVAREZ GONZALEZ","1","125 cc","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","1 Vuelta","1:39.872","5","","9:03.802"
"NT","36-2","Thomas PINEDA GONZALEZ","0","125 cc","Honda","Caldas","CLUB DE MOTOCICLISMO JP36","NT","1:28.938","5","","7:51.422"
"NT","331","Juan Pablo CARMONA GIRALDO","0","125 cc","GasGas","Bogotá D.C.","Todo terreno track","NT","1:34.630","4","","6:54.144"
"NT","114","Miguel Angel LOPEZ MARTINEZ","0","125 cc","Husqvarna","Quindío","CLUB RUTEROS DEL QUINDIO","NT","","","",""
