"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","206","Juan Martin HOYOS VASQUEZ","3","50 cc","Yamaha","Antioquia","STUNT FIVE","","1:39.512","7","","12:22.690"
"2","607","Milan ORTIZ DUQUE","2","50 cc","Cobra","Bogotá D.C.","Racing pilots Academy","1.517","1:40.208","7","","12:24.207"
"3","80-E","Emmanuel HIGUERA CASTAÑO","1","50 cc","Yamaha","Bogotá D.C.","Todo terreno track","46.827","1:47.573","7","","13:09.517"
"4","717","Mariana ARISMEDI TRUJILLO","1","50 cc","Cobra","Bogotá D.C.","Todo terreno track","1:39.448","1:54.093","7","","14:02.138"
"5","101","Martín Silva OROZCO","1","50 cc","Honda","Caldas","CLUB DE MOTOCICLISMO JP36","1:42.643","1:54.280","7","","14:05.333"
"6","317","Elias YEPES ZAMORANO","1","50 cc","KTM","Antioquia","CLUB GRILLOS RACING","1:47.222","1:52.567","7","","14:09.912"
"7","133","Jorge Mario OCAMPO MEJIA","1","50 cc","Cobra","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","1:47.935","1:52.873","7","","14:10.625"
"8","13","Valery DIAZ VELASQUEZ","1","50 cc","Cobra","Bogotá D.C.","Todo terreno track","1 Vuelta","2:01.258","6","","12:48.420"
"9","499","Jared PEREZ CASTILLO","1","50 cc","Husqvarna","Quindío","CLUB RUTEROS DEL QUINDIO","1 Vuelta","2:03.326","6","","13:08.440"
"NT","716","Thomas Andres MAHECHA CARRILLO","0","50 cc","Cobra","Bogotá D.C.","Racing pilots Academy","NT","1:51.455","5","","9:56.005"
