"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","111","Martin OSPINA CUELLO","15","85 cc Mini","Yamaha","Bogotá D.C.","Xspeed Racing","","1:29.797","10","","15:50.811"
"2","139","Valentino ZULETA CARDONA","13","85 cc Mini","KTM","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","14.323","1:32.305","10","","16:05.134"
"3","413","Samuel Emilio CAMACHO PAEZ","11","85 cc Mini","GasGas","Bogotá D.C.","Xspeed Racing","17.093","1:33.256","10","","16:07.904"
"4","120","Matias GOMEZ ORJUELA","10","85 cc Mini","KTM","Bogotá D.C.","Todo terreno track","17.491","1:32.693","10","","16:08.302"
"5","626","Juan Antonio PIEDRAHITA VARELA","9","85 cc Mini","GasGas","Risaralda","CLUB LOS GUEPARDOS","19.026","1:33.158","10","","16:09.837"
"6","121","Martin LONDOÑO VARGAS","8","85 cc Mini","Husqvarna","Bogotá D.C.","Xspeed Racing","1:04.116","1:35.183","10","","16:54.927"
"7","420","Esteban ARCILA ACEVEDO","7","85 cc Mini","KTM","Risaralda","CLUB LOS GUEPARDOS","1:18.953","1:36.355","10","","17:09.764"
"8","888","Maximiliano YEPES ZAMORANO","6","85 cc Mini","Yamaha","Antioquia","CLUB GRILLOS RACING","1:26.975","1:38.964","10","","17:17.786"
"9","35","Juan Angel MORALES GALLEGO","5","85 cc Mini","Yamaha","Antioquia","CLUB GRILLOS RACING","1 Vuelta","1:42.290","9","","16:00.235"
"10","805","Adrian Roberto HERMIDA GONZALEZ","4","85 cc Mini","KTM","Bogotá D.C.","Todo terreno track","3 Vueltas","1:45.166","7","","16:37.411"
"NT","28","Sofia ESCOBAR HINCAPIE","0","85 cc Mini","Husqvarna","Caldas","CLUB VILLAMARIA RACING CLUB","NT","","","",""
