"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","111","Martin OSPINA CUELLO","3","85 cc Mini","Yamaha","Bogotá D.C.","Xspeed Racing","","1:27.991","8","","11:51.412"
"2","120","Matias GOMEZ ORJUELA","2","85 cc Mini","KTM","Bogotá D.C.","Todo terreno track","18.599","1:29.484","8","","12:10.011"
"3","139","Valentino ZULETA CARDONA","1","85 cc Mini","KTM","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","25.528","1:28.575","8","","12:16.940"
"4","413","Samuel Emilio CAMACHO PAEZ","1","85 cc Mini","GasGas","Bogotá D.C.","Xspeed Racing","29.500","1:31.202","8","","12:20.912"
"5","626","Juan Antonio PIEDRAHITA VARELA","1","85 cc Mini","GasGas","Risaralda","CLUB LOS GUEPARDOS","32.884","1:29.417","8","","12:24.296"
"6","420","Esteban ARCILA ACEVEDO","1","85 cc Mini","KTM","Risaralda","CLUB LOS GUEPARDOS","53.213","1:34.255","8","","12:44.625"
"7","121","Martin LONDOÑO VARGAS","1","85 cc Mini","Husqvarna","Bogotá D.C.","Xspeed Racing","53.214","1:30.082","8","","12:44.626"
"8","888","Maximiliano YEPES ZAMORANO","1","85 cc Mini","Yamaha","Antioquia","CLUB GRILLOS RACING","1:15.474","1:36.917","8","","13:06.886"
"9","35","Juan Angel MORALES GALLEGO","1","85 cc Mini","Yamaha","Antioquia","CLUB GRILLOS RACING","1:24.690","1:37.950","8","","13:16.102"
"10","805","Adrian Roberto HERMIDA GONZALEZ","1","85 cc Mini","KTM","Bogotá D.C.","Todo terreno track","1:25.682","1:38.255","8","","13:17.094"
"11","28","Sofia ESCOBAR HINCAPIE","1","85 cc Mini","Husqvarna","Caldas","CLUB VILLAMARIA RACING CLUB","1 Vuelta","1:40.033","7","","12:31.394"
