"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","423","Martin CHICA CORREA","15","Mx pre-expertos","Beta","Bogotá D.C.","Todo terreno track","","1:31.090","13","","20:26.941"
"2","213","Jhon Alexander PICON BOLAÑOS","13","Mx pre-expertos","KTM","Cesar","VIRUS RACING","1 Vuelta","1:32.373","12","","19:07.374"
"3","184","Jose Alejandro MOYANO MORENO","11","Mx pre-expertos","Beta","Cundinamarca","CLUB IGUANA RACING GIRARDOT","1 Vuelta","1:32.315","12","","19:24.695"
"4","799-E","MANUEL FELIPE RINCON ACEVEDO","10","Mx pre-expertos","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","1 Vuelta","1:34.301","12","","20:04.597"
"5","336","DAVID ALEJANDRO IBARRA ECHEVERRY","9","Mx pre-expertos","Unite Motor","Putumayo","CLUB EXTREME RACING","1 Vuelta","1:33.865","12","","20:12.195"
"6","721-E","David Santiago Mejía corzo","8","Mx pre-expertos","KTM","Bogotá D.C.","Xspeed Racing","1 Vuelta","1:31.077","12","","20:22.543"
"7","269","Jhon santiago HERNANDEZ BERMUDEZ","7","Mx pre-expertos","Husqvarna","Valle del Cauca","Carasucias","1 Vuelta","1:37.618","12","","20:34.339"
"8","454","Mateo ALVAREZ GONZALEZ","6","Mx pre-expertos","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","2 Vueltas","1:38.629","11","","19:55.700"
"NT","53","Simón RESTREPO GUZMAN","0","Mx pre-expertos","Yamaha","Antioquia","CLUB MOTOCROSS YARUMAL","NT","1:32.504","4","","9:10.072"
"NE","29","Jeronimo PIEDRAHITA HINCAPIE","0","Mx pre-expertos","Honda","Caldas","CLUB DE MOTOCICLISMO JP36","NE","","","",""
"NE","725-E","Juan Camilo ACOSTA PRIETO","0","Mx pre-expertos","KTM","Bogotá D.C.","Todo terreno track","NE","","","",""
