"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","53","Simón RESTREPO GUZMAN","3","Mx pre-expertos","Yamaha","Antioquia","CLUB MOTOCROSS YARUMAL","","1:28.664","8","","12:34.198"
"2","423","Martin CHICA CORREA","2","Mx pre-expertos","Beta","Bogotá D.C.","Todo terreno track","4.751","1:30.351","8","","12:38.949"
"3","184","Jose Alejandro MOYANO MORENO","1","Mx pre-expertos","Beta","Cundinamarca","CLUB IGUANA RACING GIRARDOT","12.099","1:31.276","8","","12:46.297"
"4","213","Jhon Alexander PICON BOLAÑOS","1","Mx pre-expertos","KTM","Cesar","VIRUS RACING","12.250","1:30.943","8","","12:46.448"
"5","721-E","David Santiago Mejía corzo","1","Mx pre-expertos","KTM","Bogotá D.C.","Xspeed Racing","1 Vuelta","1:36.210","7","","11:50.120"
"6","336","DAVID ALEJANDRO IBARRA ECHEVERRY","1","Mx pre-expertos","Unite Motor","Putumayo","CLUB EXTREME RACING","1 Vuelta","1:37.509","7","","12:19.619"
"7","725-E","Juan Camilo ACOSTA PRIETO","1","Mx pre-expertos","KTM","Bogotá D.C.","Todo terreno track","1 Vuelta","1:41.339","7","","12:22.736"
"8","454","Mateo ALVAREZ GONZALEZ","1","Mx pre-expertos","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","1 Vuelta","1:40.166","7","","12:27.022"
"9","269","Jhon santiago HERNANDEZ BERMUDEZ","1","Mx pre-expertos","Husqvarna","Valle del Cauca","Carasucias","1 Vuelta","1:41.088","7","","12:27.821"
"10","799-E","MANUEL FELIPE RINCON ACEVEDO","1","Mx pre-expertos","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","3 Vueltas","1:36.042","5","","12:49.265"
"NT","29","Jeronimo PIEDRAHITA HINCAPIE","0","Mx pre-expertos","Honda","Caldas","CLUB DE MOTOCICLISMO JP36","NT","","","",""
