"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","FN/RH","Q ","R1 ","R2 "
"1","423","Martin CHICA CORREA","Mx pre-expertos","32","0","Beta","Bogotá D.C.","Todo terreno track","","2","15","15"
"2","799-E","MANUEL FELIPE RINCON ACEVEDO","Mx pre-expertos","24","8","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","","1","10","13"
"3","213","Jhon Alexander PICON BOLAÑOS","Mx pre-expertos","24","8","KTM","Cesar","VIRUS RACING","","1","13","10"
"4","184","Jose Alejandro MOYANO MORENO","Mx pre-expertos","23","9","Beta","Cundinamarca","CLUB IGUANA RACING GIRARDOT","","1","11","11"
"5","721-E","David Santiago Mejía corzo","Mx pre-expertos","18","14","KTM","Bogotá D.C.","Xspeed Racing","","1","8","9"
"6","336","DAVID ALEJANDRO IBARRA ECHEVERRY","Mx pre-expertos","18","14","Unite Motor","Putumayo","CLUB EXTREME RACING","","1","9","8"
"7","454","Mateo ALVAREZ GONZALEZ","Mx pre-expertos","14","18","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","","1","6","7"
"8","269","Jhon santiago HERNANDEZ BERMUDEZ","Mx pre-expertos","13","19","Husqvarna","Valle del Cauca","Carasucias","","1","7","5"
"9","29","Jeronimo PIEDRAHITA HINCAPIE","Mx pre-expertos","6","26","Honda","Caldas","CLUB DE MOTOCICLISMO JP36","","0","0","6"
"10","53","Simón RESTREPO GUZMAN","Mx pre-expertos","3","29","Yamaha","Antioquia","CLUB MOTOCROSS YARUMAL","","3","0","0"
"11","725-E","Juan Camilo ACOSTA PRIETO","Mx pre-expertos","1","31","KTM","Bogotá D.C.","Todo terreno track","","1","0","0"
