"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","114","Miguel Angel LOPEZ MARTINEZ","15","Mx 2","Husqvarna","Quindío","CLUB RUTEROS DEL QUINDIO","","1:32.890","15","","24:21.083"
"2","777","Euclides Antonio TORRES ROSALES","13","Mx 2","KTM","Bogotá D.C.","Xspeed Racing","23.721","1:33.832","15","","24:44.804"
"3","211","Yeison Alexander QUIÑONES RICO","11","Mx 2","Honda","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","1:16.572","1:36.722","15","","25:37.655"
"4","54","Thomas ZULUAGA GIRALDO","10","Mx 2","Yamaha","Antioquia","CLUB GRILLOS RACING","1 Vuelta","1:37.450","14","","24:42.777"
"5","627","JERONIMO ROMAN VELASQUEZ","9","Mx 2","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","1 Vuelta","1:39.291","14","","25:29.446"
"6","66","Miguel Angel ROJAS ALBA","8","Mx 2","KTM","Bogotá D.C.","Racing pilots Academy","1 Vuelta","1:36.214","14","","25:42.527"
"7","710","Juan David MENDOZA DUARTE","7","Mx 2","Yamaha","Meta","VILLAVICENCIO RACING CLUB","2 Vueltas","1:41.541","13","","25:48.025"
"8","107","Miguel Angel FLOREZ VALENCIA","6","Mx 2","Honda","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","3 Vueltas","1:47.229","12","","24:28.862"
"NT","141","Isabela VILLEGAS BRAND","0","Mx 2","Yamaha","Valle del Cauca","Team Potenza","NT","","","",""
"NT","333","Santiago Ramirez Cabrera","0","Mx 2","GasGas","Bogotá D.C.","Xspeed Racing","NT","","","",""
