"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","777","Euclides Antonio TORRES ROSALES","3","Mx 2","KTM","Bogotá D.C.","Xspeed Racing","","1:23.296","8","","11:42.046"
"2","114","Miguel Angel LOPEZ MARTINEZ","2","Mx 2","Husqvarna","Quindío","CLUB RUTEROS DEL QUINDIO","6.436","1:22.782","8","","11:48.482"
"3","211","Yeison Alexander QUIÑONES RICO","1","Mx 2","Honda","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","10.380","1:23.914","8","","11:52.426"
"4","66","Miguel Angel ROJAS ALBA","1","Mx 2","KTM","Bogotá D.C.","Racing pilots Academy","10.381","1:23.685","8","","11:52.427"
"5","710","Juan David MENDOZA DUARTE","1","Mx 2","Yamaha","Meta","VILLAVICENCIO RACING CLUB","53.035","1:29.384","8","","12:35.081"
"6","107","Miguel Angel FLOREZ VALENCIA","1","Mx 2","Honda","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","1:04.183","1:30.796","8","","12:46.229"
"7","54","Thomas ZULUAGA GIRALDO","1","Mx 2","Yamaha","Antioquia","CLUB GRILLOS RACING","2 Vueltas","1:34.815","6","","11:48.816"
"8","627","JERONIMO ROMAN VELASQUEZ","1","Mx 2","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","3 Vueltas","1:29.392","5","","12:54.234"
"NT","141","Isabela VILLEGAS BRAND","0","Mx 2","Yamaha","Valle del Cauca","Team Potenza","NT","1:34.393","3","","5:11.297"
"NT","333","Santiago Ramirez Cabrera","0","Mx 2","GasGas","Bogotá D.C.","Xspeed Racing","NT","","","",""
