"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","FN/RH","Q ","R1 ","R2 "
"1","114","Miguel Angel LOPEZ MARTINEZ","Mx 2","32","0","Husqvarna","Quindío","CLUB RUTEROS DEL QUINDIO","","2","15","15"
"2","777","Euclides Antonio TORRES ROSALES","Mx 2","26","6","KTM","Bogotá D.C.","Xspeed Racing","","3","13","10"
"3","54","Thomas ZULUAGA GIRALDO","Mx 2","24","8","Yamaha","Antioquia","CLUB GRILLOS RACING","","1","10","13"
"4","211","Yeison Alexander QUIÑONES RICO","Mx 2","21","11","Honda","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","","1","11","9"
"5","66","Miguel Angel ROJAS ALBA","Mx 2","20","12","KTM","Bogotá D.C.","Racing pilots Academy","","1","8","11"
"6","710","Juan David MENDOZA DUARTE","Mx 2","16","16","Yamaha","Meta","VILLAVICENCIO RACING CLUB","","1","7","8"
"7","627","JERONIMO ROMAN VELASQUEZ","Mx 2","16","16","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","","1","9","6"
"8","107","Miguel Angel FLOREZ VALENCIA","Mx 2","14","18","Honda","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","","1","6","7"
"NT","141","Isabela VILLEGAS BRAND","Mx 2","0","32","Yamaha","Valle del Cauca","Team Potenza","","0","0","0"
"NT","333","Santiago Ramirez Cabrera","Mx 2","0","32","GasGas","Bogotá D.C.","Xspeed Racing","","0","0","0"
