"Pos.","N°","Nombre","Puntos","LIGA","Clase","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Total T°","Vueltas","Comentario"
"1","837","JHOAN ANDRES BARRAGAN ALVAREZ","15","Putumayo","125 cc","TEAM RACING MOCOA","KTM","1:32.529","2","","","22:59.492","14",""
"2","777","Euclides Antonio TORRES ROSALES","13","Bogotá D.C.","125 cc","Xspeed Racing","KTM","1:34.828","2","23.810","23.810","23:23.302","14",""
"3","222","Maximiliano RAMIREZ RESTREPO","11","Antioquia","125 cc","STUNT FIVE","Yamaha","1:36.842","8","28.873","5.063","23:28.365","14",""
"4","710","Juan David MENDOZA DUARTE","10","Meta","125 cc","VILLAVICENCIO RACING CLUB","Husqvarna","1:37.334","1","41.080","12.207","23:40.572","14",""
"5","700","Maximiliano GUERRA ALVAREZ","9","Antioquia","125 cc","CLUB GRILLOS RACING","Yamaha","1:37.310","7","56.711","15.631","23:56.203","14",""
"6","321","Jorge Esteban VARGAS GONZALES","8","Antioquia","125 cc","CLUB MOTOCROSS DE YARUMAL","Yamaha","1:38.665","2","1:05.084","8.373","24:04.576","14",""
"7","281","Moises BETANCUR OCHOA","7","Antioquia","125 cc","CLUB ANTIOQUIA 2 RUEDAS RACER","Yamaha","1:38.596","6","1:23.935","18.851","24:23.427","14",""
"8","331","Juan Pablo CARMONA GIRALDO","6","Bogotá D.C.","125 cc","Todo terreno track","GasGas","1:39.679","3","1:27.595","3.660","24:27.087","14",""
"9","210","Juan Pablo Muñoz Gómez","5","Cesar","125 cc","K-LIMA RACING","Husqvarna","1:39.955","6","1:43.148","15.553","24:42.640","14",""
"10","36-2","Thomas PINEDA GONZALEZ","4","Caldas","125 cc","CLUB DE MOTOCICLISMO JP36","Honda","1:35.635","1","1 Vuelta","1 Vuelta","23:34.817","13",""
"11","64","Jacobo GIL MARIN","3","Antioquia","125 cc","CLUB MOTOCROSS YARUMAL","Yamaha","1:39.823","2","1 Vuelta","3.799","23:38.616","13",""
"12","213","Jhon Alexander PICON BOLAÑOS","2","Cesar","125 cc","VIRUS RACING","KTM","1:38.680","3","1 Vuelta","26.682","24:05.298","13",""
"13","630","Samuel Andres PINTO DUARTE","1","Meta","125 cc","VILLAVICENCIO RACING CLUB","Yamaha","1:42.551","3","2 Vueltas","1 Vuelta","23:01.937","12",""
"14","221","Peter FRISH KLEVER","1","Cesar","125 cc","VIRUS RACING","GasGas","1:38.541","1","2 Vueltas","21.129","23:23.066","12",""
"15","454","Mateo ALVAREZ GONZALEZ","1","Antioquia","125 cc","CLUB ANTIOQUIA 2 RUEDAS RACER","Yamaha","1:49.950","9","3 Vueltas","1 Vuelta","23:16.504","11",""
"16","199","Nicolas Felipe REY REY","0","Cundinamarca","125 cc","CLUB IGUANA RACING GIRARDOT","KTM","1:41.076","2","3 Vueltas","25.176","23:41.680","11",""
"17","146","Gabriel Alejandro MESA ARROYO","0","Nariño","125 cc","CLUB DEPORTIVO BUFALO XTREM","Yamaha","1:44.640","2","3 Vueltas","21.014","24:02.694","11",""
"NT","114","Miguel Angel LOPEZ MARTINEZ","0","Quindío","125 cc","CLUB RUTEROS DEL QUINDIO","Husqvarna","","0","NT","","","",""
