"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","Q ","R1 ","R2 "
"1","114","Miguel Angel LOPEZ MARTINEZ","125 cc","28","0","GasGas","Quindío","CLUB RUTEROS DEL QUINDIO","2","11","15"
"2","700","Maximiliano GUERRA ALVAREZ","125 cc","22","6","Yamaha","Antioquia","CLUB GRILLOS RACING","1","8","13"
"3","837","JHOAN ANDRES BARRAGAN ALVAREZ","125 cc","20","8","Husqvarna","Putumayo","TEAM RACING MOCOA","3","15","2"
"4","36-2","Thomas PINEDA GONZALEZ","125 cc","17","11","Honda","Caldas","CLUB DE MOTOCICLISMO JP36","1","9","7"
"5","228","Jeronimo DAMELINES LOAIZA","125 cc","17","11","Husqvarna","Risaralda","CLUB LOS GUEPARDOS","1","13","3"
"6","64","Jacobo GIL MARIN","125 cc","16","12","Yamaha","Antioquia","CLUB MOTOCROSS YARUMAL","1","7","8"
"7","222","Maximiliano RAMIREZ RESTREPO","125 cc","15","13","Yamaha","Antioquia","STUNT FIVE","1","3","11"
"8","199","Nicolas Felipe REY REY","125 cc","14","14","KTM","Cundinamarca","CLUB IGUANA RACING GIRARDOT","0","4","10"
"9","321","Jorge Esteban VARGAS GONZALES","125 cc","12","16","Yamaha","Antioquia","CLUB MOTOCROSS DE YARUMAL","1","10","1"
"10","146","Gabriel Alejandro MESA ARROYO","125 cc","9","19","Yamaha","Nariño","CLUB BUFALO XTREM PARK","0","0","9"
"11","710","Juan David MENDOZA DUARTE","125 cc","7","21","Husqvarna","Meta","VILLAVICENCIO RACING CLUB","1","0","6"
"12","244","Alejandro ANGEL ISAZA","125 cc","7","21","Yamaha","Valle del Cauca","Carasucias","1","2","4"
"13","281","MOISES BETANCUR","125 cc","7","21","","ANTIOQUIA","","1","6","0"
"14","184","Jose Alejandro MOYANO MORENO","125 cc","6","22","KTM","Cundinamarca","CLUB IGUANA RACING GIRARDOT","0","1","5"
"15","77","Martin Estrada Zapata","125 cc","6","22","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","1","5","0"
"16","612","ALEJANDRO DIAZ GARCIA","125 cc","2","26","YAMAHA","VALLE","CARASUCIAS","0","1","1"
"17","444","Maximiliano ANGEL MUÑOZ","125 cc","2","26","Yamaha","Antioquia","CLUB GRILLOS RACING","1","0","1"
"18","526","JACOBO ARROYAVE DIAZ","125 cc","2","26","Yamaha","Antioquia","STUNT FIVE","1","1","0"
"19","331","Juan Pablo CARMONA GIRALDO","125 cc","1","27","GasGas","Bogotá D.C.","Todo terreno track","1","0","0"
"20","454","Mateo ALVAREZ GONZALEZ","125 cc","0","28","KTM","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","0","0","0"
"21","221","Peter FRISH KLEVER","125 cc","0","28","GasGas","Cesar","VIRUS RACING","0","0","0"
"22","417","Juan Sebastian GIRON CARVAJAL","125 cc","0","28","Husqvarna","Risaralda","CLUB LOS GUEPARDOS","0","0","0"
"23","630","Samuel Andres PINTO DUARTE","125 cc","0","28","KTM","Meta","VILLAVICENCIO RACING CLUB","0","0","0"
