"Pos.","N°","Nombre","Puntos","LIGA","Clase","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Total T°","Vueltas","Comentario"
"1","111","Martin OSPINA CUELLO","15","Bogotá D.C.","85 cc Mini","Xspeed Racing","Yamaha","1:34.304","3","","","18:43.017","11",""
"2","413","Samuel Emilio CAMACHO PAEZ","13","Bogotá D.C.","85 cc Mini","Xspeed Racing","GasGas","1:37.850","9","12.943","12.943","18:55.960","11",""
"3","120","Matias GOMEZ ORJUELA","11","Bogotá D.C.","85 cc Mini","Todo terreno track","KTM","1:36.617","5","19.162","6.219","19:02.179","11",""
"4","420","Esteban ARCILA ACEVEDO","10","Risaralda","85 cc Mini","CLUB LOS GUEPARDOS","Husqvarna","1:40.590","3","40.216","21.054","19:23.233","11",""
"5","626","Juan Antonio PIEDRAHITA VARELA","9","Risaralda","85 cc Mini","CLUB LOS GUEPARDOS","KTM","1:39.388","8","44.442","4.226","19:27.459","11",""
"6","888","Maximiliano YEPES ZAMORANO","8","Antioquia","85 cc Mini","CLUB GRILLOS RACING","Yamaha","1:42.287","4","1:06.617","22.175","19:49.634","11",""
"7","139","Valentino ZULETA CARDONA","7","Antioquia","85 cc Mini","CLUB ANTIOQUIA 2 RUEDAS RACER","Yamaha","1:36.988","5","2 Vueltas","2 Vueltas","19:49.233","9",""
"8","28","Sofia ESCOBAR HINCAPIE","6","Caldas","85 cc Mini","CLUB VILLAMARIA RACING CLUB","Yamaha","1:55.555","3","2 Vueltas","56.717","20:45.950","9",""
"NT","E-98","salome henao torres","0","Antioquia","85 cc Mini","CLUB GRILLOS RACING","Yamaha","1:50.640","2","NT","","8:42.729","4",""
"NT","35","Juan Angel MORALES GALLEGO","0","Antioquia","85 cc Mini","CLUB GRILLOS RACING","Yamaha","","0","NT","","","",""
