"Pos.","N°","Nombre","Puntos","LIGA","Clase","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Total T°","Vueltas","Comentario"
"1","111","Martin OSPINA CUELLO","3","Bogotá D.C.","85 cc Mini","Xspeed Racing","Yamaha","1:33.514","4","","","11:15.111","7",""
"2","120","Matias GOMEZ ORJUELA","2","Bogotá D.C.","85 cc Mini","Todo terreno track","KTM","1:38.290","7","29.152","29.152","11:44.263","7",""
"3","139","Valentino ZULETA CARDONA","1","Antioquia","85 cc Mini","CLUB ANTIOQUIA 2 RUEDAS RACER","Yamaha","1:38.879","7","29.627","0.475","11:44.738","7",""
"4","413","Samuel Emilio CAMACHO PAEZ","1","Bogotá D.C.","85 cc Mini","Xspeed Racing","GasGas","1:39.495","7","31.220","1.593","11:46.331","7",""
"5","626","Juan Antonio PIEDRAHITA VARELA","1","Risaralda","85 cc Mini","CLUB LOS GUEPARDOS","KTM","1:38.747","7","31.669","0.449","11:46.780","7",""
"6","35","Juan Angel MORALES GALLEGO","1","Antioquia","85 cc Mini","CLUB GRILLOS RACING","Yamaha","1:34.962","6","46.184","14.515","12:01.295","7",""
"7","888","Maximiliano YEPES ZAMORANO","1","Antioquia","85 cc Mini","CLUB GRILLOS RACING","Yamaha","1:44.071","6","1:03.689","17.505","12:18.800","7",""
"8","420","Esteban ARCILA ACEVEDO","1","Risaralda","85 cc Mini","CLUB LOS GUEPARDOS","Husqvarna","1:40.612","3","1:10.623","6.934","12:25.734","7",""
"9","28","Sofia ESCOBAR HINCAPIE","1","Caldas","85 cc Mini","CLUB VILLAMARIA RACING CLUB","Yamaha","1:55.970","5","1 Vuelta","1 Vuelta","12:01.958","6",""
"NT","E-98","salome henao torres","0","Antioquia","85 cc Mini","CLUB GRILLOS RACING","Yamaha","1:48.055","2","NT","","7:26.500","4",""
