"Pos.","N°","Nombre","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","227","Rigo German SALAZAR CERON","115 cc Master","1:01.044","3","","",""
"2","744","Roberto Jose Ruiz Ayala","115 cc Master","1:01.314","8","0.270","0.270",""
"3","251","Eder Danny TAPIERO LOPEZ","115 cc Master","1:01.630","4","0.586","0.316",""
"4","710","Alexander DIAZ CASTAÑO","115 cc Master","1:02.195","2","1.151","0.565",""
"5","45","Juan Carlos SEGURA MARTINEZ","115 cc Master","1:02.412","2","1.368","0.217",""
"6","230","Diego Fernando CASTRO","115 cc Master","1:02.631","4","1.587","0.219",""
"7","398","Guillermo Augusto DIAZ","115 cc Master","1:02.665","2","1.621","0.034",""
"8","602","Jaime Andrés RESTREPO NUÑEZ","115 cc Master","1:03.353","4","2.309","0.688",""
"9","E-305","JOSE EIDER OSPINA","115 cc Master","1:05.504","2","4.460","2.151",""
"10","27","Lisandro VASQUEZ RAMIREZ","115 cc Master","1:06.108","1","5.064","0.604",""
"11","178","Carlos Andres CARDOZO MILLAN","115 cc Master","","0","","",""
