"Pos.","N°","Nombre","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","E-745","Jeronimo HENAO MARIN","115 cc Infantil","1:00.097","1","","",""
"2","255","Juan Sebastian WONG RODRÍGUEZ","115 cc Infantil","1:00.712","6","0.615","0.615",""
"3","312","Eder Sebastian JARAMILLO YARA","115 cc Infantil","1:02.684","3","2.587","1.972",""
"4","161","Juan Esteban ZAPATA MUÑOZ","115 cc Infantil","1:03.714","3","3.617","1.030",""
"5","181","Juan David Melo Bastidas","115 cc Infantil","1:05.232","7","5.135","1.518",""
"6","168","Jeiccob David CARDOZO VERA","115 cc Infantil","1:05.442","6","5.345","0.210",""
"7","450","Derian Andres ROZO CASTIBLANCO","115 cc Infantil","1:05.491","5","5.394","0.049",""
"8","267","Andres Esteban HIGUITA CARRILLO","115 cc Infantil","1:05.971","5","5.874","0.480",""
"9","123","Samuel David HERNANDEZ MONTES","115 cc Infantil","1:06.217","2","6.120","0.246",""
"10","395","Andres David Madroñero Alvear","115 cc Infantil","1:06.475","3","6.378","0.258",""
"11","16","Dylan Santiago RODRIGUEZ CUELLAR","115 cc Infantil","1:06.565","2","6.468","0.090",""
