"Pos.","N°","Nombre","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","98","Mateo CASTELLANOS CARVAJAL","150 cc","56.893","4","","",""
"2","88","Gerardo camilo TORRES","150 cc","57.678","5","0.785","0.785",""
"3","726","Nicolas MILLAN MURILLO","150 cc","57.725","5","0.832","0.047",""
"4","243","David Fernando BURBANO GOMEZ","150 cc","57.873","2","0.980","0.148",""
"5","227","Rigo German SALAZAR CERÓN","150 cc","57.907","6","1.014","0.034",""
"6","E-745","Jeronimo HENAO MARIN","150 cc","57.984","6","1.091","0.077",""
"7","166","Johan Camilo GIRALDO RAMIREZ","150 cc","58.032","7","1.139","0.048",""
"8","194","Egdar Andres VELEZ MOLINA","150 cc","58.104","3","1.211","0.072",""
"9","E-522","Bryan MORALES GARCIA","150 cc","58.331","2","1.438","0.227",""
"10","921","Giomar Nicolas Ruiz Burbano","150 cc","59.023","3","2.130","0.692",""
"11","207","David Alejandro FORERO ZAPATA","150 cc","59.265","5","2.372","0.242",""
"12","746","Juan Sebastián García agudelo","150 cc","59.947","2","3.054","0.682",""
"13","846","Yamid Sebastian LOPEZ VALLEJOS","150 cc","1:00.080","3","3.187","0.133",""
"14","988","JUAN CARLOS LOPEZ VIDAL","150 cc","1:00.089","4","3.196","0.009",""
"15","981","Cristian David ossa","150 cc","1:01.307","3","4.414","1.218",""
"16","68","Alvaro Javier PEREZ BERNAL","150 cc","1:01.308","4","4.415","0.001",""
"17","312","Eder Sebastian JARAMILLO YARA","150 cc","1:02.994","4","6.101","1.686",""
"18","235","Juan Sebastián Sánchez Aguirre","150 cc","","0","","",""
"19","144","JOHN ANDRES VIVAS VARON","150 cc","","0","","",""
