"Pos.","N°","Nombre","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","428","DANIEL QUINTANA CASTRO","150 cc Inicio","1:00.214","2","","",""
"2","631","Johan GOMEZ PEREZ","150 cc Inicio","1:00.911","3","0.697","0.697",""
"3","114","GIOVANY ANDRES ARTEAGA MONCAYO","150 cc Inicio","1:01.038","4","0.824","0.127",""
"4","453","Alexander MARIN YEPES","150 cc Inicio","1:01.972","2","1.758","0.934",""
"5","E-817","Francisco Antonio Agudelo","150 cc Inicio","1:02.005","5","1.791","0.033",""
"6","845","Esteban davila gonzalez","150 cc Inicio","1:02.251","2","2.037","0.246",""
"7","191","SANTIAGO MARTINEZ ZULUAGA","150 cc Inicio","1:02.406","3","2.192","0.155",""
"8","E-39","Julian David CONCHA VALENCIA","150 cc Inicio","1:02.518","4","2.304","0.112",""
"9","912","Jhon Sebastian soto hernandez","150 cc Inicio","1:02.694","2","2.480","0.176",""
"10","E-917","Christian Andres BLANDON BARBOSA","150 cc Inicio","1:02.899","5","2.685","0.205",""
"11","258","EDWIN ALEXIS SANCHEZ MORA","150 cc Inicio","1:02.967","3","2.753","0.068",""
"12","E-157","Javier Alejandro Angulo Villalba","150 cc Inicio","1:03.242","8","3.028","0.275",""
"13","724","David Andres RAMIREZ","150 cc Inicio","1:03.499","4","3.285","0.257",""
"14","430","JOLMAN JHAN CARLOS RUIZ ENRIQUEZ","150 cc Inicio","1:03.580","3","3.366","0.081",""
"15","77","David Estevan Calvache González","150 cc Inicio","1:03.648","3","3.434","0.068",""
"16","242","Benjamín Mayoral Toledo","150 cc Inicio","1:04.046","5","3.832","0.398",""
"17","213","Mario Alejandro GARCIA GARCIA","150 cc Inicio","1:04.393","2","4.179","0.347",""
"18","164","Andres Felipe millan Franco","150 cc Inicio","1:04.876","3","4.662","0.483",""
"19","627","Carlos Andres HUGUITA CARRILLO","150 cc Inicio","1:05.231","4","5.017","0.355",""
"20","E-430","JANIER ALEXANDER GOMEZ CASTILLO","150 cc Inicio","","0","","",""
"21","266","Jhon Rene PARDO ARIAS","150 cc Inicio","","0","","",""
