"Pos.","N°","Nombre","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","114","GIOVANY ANDRES ARTEAGA MONCAYO","AX 100 Inicio","1:02.160","3","","",""
"2","77","David Esteban CALVACHE","AX 100 Inicio","1:05.275","2","3.115","3.115",""
"3","239","Esteban DORADO SOLARTE","AX 100 Inicio","1:05.894","7","3.734","0.619",""
"4","732","FREDDY SANTIAGO MAYA OTAYA","AX 100 Inicio","1:07.360","2","5.200","1.466",""
"5","242","Benjamín Mayoral Toledo","AX 100 Inicio","1:09.221","4","7.061","1.861",""
"6","12","Brayden FIGUEREDO","AX 100 Inicio","","0","","",""
"7","77","David Estevan Calvache González","AX 100 Inicio","","0","","",""
"8","123","Samuel David HERNANDEZ MONTES","AX 100 Inicio","","0","","",""
"9","312","Eder Sebastian JARAMILLO YARA","AX 100 Inicio","","0","","",""
"10","701","Aidan Thomas VEGA MEJIA","AX 100 Inicio","","0","","",""
"11","756","Thomas SUAREZ COCOMA","AX 100 Inicio","","0","","",""
