"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","VUELTAS","R1 ","R2 "
"1","243","David Fernando BURBANO GOMEZ","Supermoto","30","0","Husqvarna","Putumayo","TEAM RACING MOCOA","","15","15"
"2","227","Rigo German SALAZAR CERON","Supermoto","26","4","Husqvarna","Quindío","CLUB MONSTER GARAGE","","13","13"
"3","921","Giomar Nicolas Ruiz Burbano","Supermoto","21","9","Yamaha","Nariño","MOTOCLUB CONSACA","","10","11"
"4","829-E","Juan David Burbano Ramos","Supermoto","19","11","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","","9","10"
"5","158","Angel Alberto SALOMON ORTIZ","Supermoto","17","13","KTM","Nariño","CLUB DEPORTIVO BUFALO XTREM","","8","9"
"6","207","David Alejandro FORERO ZAPATA","Supermoto","16","14","Husqvarna","Putumayo","TEAM RACING MOCOA","","11","5"
"7","27","Lisandro VASQUEZ RAMIREZ","Supermoto","14","16","Yamaha","Valle del Cauca","MOTOCLUB TRAVESURAS","","6","8"
"8","68","Alvaro Javier PEREZ BERNAL","Supermoto","13","17","Yamaha","Quindío","CLUB DISCOVER QUINDIO","","7","6"
"9","914","Santiago Andres Guerra Ramos","Supermoto","12","18","KTM","Nariño","CLUB JOSMARC MOTOS RACING","","5","7"
"NT","155","Juan Felipe HERNANDEZ ALZATE","Supermoto","0","30","Yamaha","Meta","CLUB LLANEROS RANCING","","0","0"
