"Pos.","N°","Nombre","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","98","Mateo CASTELLANOS CARVAJAL","115 cc Elite","58.935","3","","",""
"2","243","David Fernando BURBANO GOMEZ","115 cc Elite","58.989","2","0.054","0.054",""
"3","166","Johan Camilo GIRALDO RAMIREZ","115 cc Elite","59.479","2","0.544","0.490",""
"4","207","David Alejandro FORERO ZAPATA","115 cc Elite","59.526","3","0.591","0.047",""
"5","726","Nicolas MILLAN MURILLO","115 cc Elite","59.782","5","0.847","0.256",""
"6","88","Gerardo camilo TORRES","115 cc Elite","59.879","2","0.944","0.097",""
"7","E-745","Jeronimo HENAO MARIN","115 cc Elite","1:00.097","1","1.162","0.218",""
"8","227","Rigo German SALAZAR CERON","115 cc Elite","1:00.549","2","1.614","0.452",""
"9","235","Juan Sebastián Sánchez Aguirre","115 cc Elite","1:01.164","3","2.229","0.615",""
"10","887","Cristian David palacio jaramillo","115 cc Elite","1:01.269","6","2.334","0.105",""
"11","681","Andres Felipe RESTREPO CASTRILLON","115 cc Elite","1:01.303","4","2.368","0.034",""
"12","846","Yamid Sebastian LOPEZ VALLEJOS","115 cc Elite","1:01.431","3","2.496","0.128",""
"13","E-522","Bryan MORALES GARCIA","115 cc Elite","1:01.533","3","2.598","0.102",""
"14","424","Juan Manuel FORERO BANDERA","115 cc Elite","1:01.640","4","2.705","0.107",""
"15","988","JUAN CARLOS LOPEZ VIDAL","115 cc Elite","1:01.959","3","3.024","0.319",""
"16","710","Alexander DIAZ CASTAÑO","115 cc Elite","1:02.198","2","3.263","0.239",""
"17","921","Giomar Nicolas Ruiz Burbano","115 cc Elite","1:02.271","5","3.336","0.073",""
"18","721","Juan Andres RODRIGUEZ ARIAS","115 cc Elite","1:02.513","1","3.578","0.242",""
"19","419","Diego Fernando RODAS MARIN","115 cc Elite","1:02.823","5","3.888","0.310",""
"20","312","Eder Sebastian JARAMILLO YARA","115 cc Elite","1:03.378","5","4.443","0.555",""
"21","343","Juan Pablo BURBANO GOMEZ","115 cc Elite","1:04.024","6","5.089","0.646",""
"22","614","David Alejandro Roman Ramirez","115 cc Elite","1:06.134","5","7.199","2.110",""
"23","210","Jhon Mario GARCÍA CASTRO","115 cc Elite","","0","","",""
