"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","VUELTAS","R1 ","R2 "
"1","243","David Fernando BURBANO GOMEZ","Supermoto","26","0","Husqvarna","Putumayo","TEAM RACING MOCOA","","11","15"
"2","155-E","Juan Felipe HERNANDEZ ALZATE","Supermoto","26","0","Yamaha","Meta","CLUB LLANEROS RANCING","","13","13"
"3","227","Rigo German SALAZAR CERON","Supermoto","23","3","Husqvarna","Quindío","CLUB MONSTER GARAGE","","15","8"
"4","921","Giomar Nicolas Ruiz Burbano","Supermoto","19","7","KTM","Nariño","MOTOCLUB CONSACA","","9","10"
"5","98","Mateo CASTELLANOS CARVAJAL","Supermoto","19","7","Yamaha","Caldas","CLUB JHC RACING","","10","9"
"6","207","David Alejandro FORERO ZAPATA","Supermoto","15","11","Husqvarna","Putumayo","TEAM RACING MOCOA","","4","11"
"7","89","Andrés pantoja","Supermoto","15","11","TVS","Nariño","CLUB DEPORTIVO BUFALO XTREM","","8","7"
"8","248","JUAN DAVID ORTEGA PATIÑO","Supermoto","11","15","KTM","Nariño","MOTOCLUB TANGUA RACING","","5","6"
"9","158","Angel Alberto SALOMON ORTIZ","Supermoto","11","15","KTM","Nariño","CLUB DEPORTIVO BUFALO XTREM","","6","5"
"10","622","Carlos David Paz Agreda","Supermoto","10","16","KTM","Nariño","MOTOCLUB CONSACA","","7","3"
"11","346-E","Josue Daniel Bastidas Moncayo","Supermoto","7","19","KTM","Nariño","CLUB DEPORTIVO BUFALO XTREM","","3","4"
"12","114","GIOVANY ANDRES ARTEAGA MONCAYO","Supermoto","4","22","Yamaha","Nariño","MOTOCLUB GUAITARILLA RACING TEAM","","2","2"
"13","991-E","LUIS AEXANDER FERNANDEZ CASTILLO","Supermoto","2","24","KTM","Nariño","CLUB MOTEROS RIDERS LA UNION","","1","1"
"14","88","Gerardo camilo TORRES","Supermoto","1","25","Yamaha","Valle del Cauca","Dos Ruedas Racing Team","","0","1"
"NT","831-E","JHON FREDY BURBANO PINZA","Supermoto","0","26","Yamaha","Nariño","TEAM MOTOCLUB EL TAMBO","","0","0"
"NT","68","Alvaro Javier PEREZ BERNAL","Supermoto","0","26","Husqvarna","Quindío","CLUB DISCOVER QUINDIO","","0","0"
"NT","41","Nicolas DUQUE PATIÑO","Supermoto","0","26","","Meta","SUTA RACING CLUB","","0","0"
"NE","328-E","YENER ARVEY MUÑOZ ORTIZ","Supermoto","0","26","KTM","Nariño","CLUB ISLEÑOS TUMACO","","0","0"
