"Pos.","N°","Nombre","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","227","Rigo German SALAZAR CERON","150 cc Master","58.261","4","","",""
"2","45","Juan Carlos SEGURA MARTINEZ","150 cc Master","1:00.272","2","2.011","2.011",""
"3","398","Guillermo Augusto DIAZ","150 cc Master","1:00.382","3","2.121","0.110",""
"4","251","Eder Danny TAPIERO LOPEZ","150 cc Master","1:00.396","6","2.135","0.014",""
"5","981","Cristian David ossa","150 cc Master","1:00.829","3","2.568","0.433",""
"6","710","Alexander DIAZ CASTAÑO","150 cc Master","1:00.880","1","2.619","0.051",""
"7","230","Diego Fernando CASTRO","150 cc Master","1:01.449","4","3.188","0.569",""
"8","165","Jhon Fredy GUTIERREZ MOTOYA","150 cc Master","1:04.000","1","5.739","2.551",""
"9","27","Lisandro VASQUEZ RAMIREZ","150 cc Master","","0","","",""
"10","178","Carlos Andres CARDOZO MILLAN","150 cc Master","","0","","",""
