"Pos.","N°","Nombre","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","98","Mateo CASTELLANOS CARVAJAL","200 cc 2T","55.658","3","","",""
"2","E-745","Jeronimo HENAO MARIN","200 cc 2T","57.139","2","1.481","1.481",""
"3","243","David Fernando BURBANO GOMEZ","200 cc 2T","57.715","1","2.057","0.576",""
"4","E-522","Bryan MORALES GARCIA","200 cc 2T","58.160","5","2.502","0.445",""
"5","166","Johan Camilo GIRALDO RAMIREZ","200 cc 2T","58.778","8","3.120","0.618",""
"6","207","David Alejandro FORERO ZAPATA","200 cc 2T","58.811","7","3.153","0.033",""
"7","194","Egdar Andres VELEZ MOLINA","200 cc 2T","58.828","4","3.170","0.017",""
"8","988","JUAN CARLOS LOPEZ VIDAL","200 cc 2T","59.323","3","3.665","0.495",""
"9","846","Yamid Sebastian LOPEZ VALLEJOS","200 cc 2T","59.402","6","3.744","0.079",""
"10","227","Rigo German SALAZAR CERON","200 cc 2T","1:00.316","1","4.658","0.914",""
"11","343","Juan Pablo BURBANO GOMEZ","200 cc 2T","1:01.505","6","5.847","1.189",""
"12","981","Cristian David ossa","200 cc 2T","1:01.593","3","5.935","0.088",""
"13","88","Gerardo camilo TORRES","200 cc 2T","1:05.313","1","9.655","3.720",""
"14","144","JOHN ANDRES VIVAS VARON","200 cc 2T","","0","","",""
