"Pos.","N°","Nombre","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","726","Nicolas MILLAN MURILLO","Pit bike","58.781","4","","",""
"2","681","Andres Felipe RESTREPO CASTRILLON","Pit bike","59.809","3","1.028","1.028",""
"3","424","Juan Manuel FORERO BANDERA","Pit bike","1:00.694","4","1.913","0.885",""
"4","255","Juan Sebastian WONG RODRÍGUEZ","Pit bike","1:00.737","7","1.956","0.043",""
"5","88","Gerardo camilo TORRES","Pit bike","1:00.895","5","2.114","0.158",""
"6","921","Giomar Nicolas Ruiz Burbano","Pit bike","1:01.090","5","2.309","0.195",""
"7","98","Mateo CASTELLANOS CARVAJAL","Pit bike","1:01.851","1","3.070","0.761",""
"8","243","David Fernando BURBANO GOMEZ","Pit bike","1:02.647","1","3.866","0.796",""
"9","988","JUAN CARLOS LOPEZ VIDAL","Pit bike","1:04.741","5","5.960","2.094",""
"10","114","GIOVANY ANDRES ARTEAGA MONCAYO","Pit bike","1:05.578","7","6.797","0.837",""
"11","914","Santiago Andres Guerra Ramos","Pit bike","1:14.016","3","15.235","8.438",""
"12","721","Juan Andres RODRIGUEZ ARIAS","Pit bike","","0","","",""
