"Pos.","N°","Nombre","Clase","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","428","DANIEL QUINTANA CASTRO","115 CC INICIO","Yamaha","1:05.384","10","2","15","","",""
"2","524","Jhon Edwar BALLESTEROS CARDONA","115 CC INICIO","Yamaha","1:07.448","10","10","13","15.826","15.826",""
"3","25","Jhon Deiby Escobar","115 CC INICIO","","1:08.056","10","9","11","21.857","6.031",""
"4","671","JAIRO HERNAN ESCOBAR CRUZ","115 CC INICIO","Yamaha","1:07.303","10","3","10","32.236","10.379",""
"5","692","Deibi Alexander naranjo vallejo","115 CC INICIO","Yamaha","1:08.808","10","5","9","1:06.932","34.696",""
"6","680","Juan Esteban RIVERA MARIN","115 CC INICIO","Yamaha","1:09.267","10","3","8","1:10.582","3.650",""
"7","115","William PEÑA CARDONA","115 CC INICIO","Yamaha","1:13.543","9","3","7","1 Vuelta","1 Vuelta",""
"NT","228","Julián Felipe GALLEGO CORREA","115 CC INICIO","Yamaha","1:04.255","9","2","0","NT","",""
"NT","200-E","Geovanny rivera corredor","115 CC INICIO","Yamaha","1:18.148","8","8","0","NT","",""
"NT","755","Didier Esneider ALBORNOZ IBARGUEN","115 CC INICIO","Yamaha","1:08.532","4","1","0","NT","",""
"NT","453","Alexander MARIN YEPES","115 CC INICIO","Yamaha","1:08.678","1","1","0","NT","",""
