"Pos.","N°","Nombre","Clase","Mejor Tm","LIGA","CLUB","MOTO","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","228","Julián Felipe GALLEGO CORREA","115 cc Inicio","56.301","Caldas","CLUB MX PRO MANIZALES","Yamaha","4","","",""
"2","428","DANIEL QUINTANA CASTRO","115 cc Inicio","58.042","Quindío","CLUB RUTEROS DEL QUINDIO","Yamaha","2","1.741","1.741",""
"3","524","Jhon Edwar BALLESTEROS CARDONA","115 cc Inicio","59.379","Quindío","CLUB DISCOVER QUINDIO","Yamaha","6","3.078","1.337",""
"4","755","Didier Esneider ALBORNOZ IBARGUEN","115 cc Inicio","59.512","Quindío","CLUB MONSTER GARAGE","Yamaha","2","3.211","0.133",""
"5","453","Alexander MARIN YEPES","115 cc Inicio","59.614","Quindío","CLUB RUTEROS DEL QUINDIO","Yamaha","6","3.313","0.102",""
"6","671","JAIRO HERNAN ESCOBAR CRUZ","115 cc Inicio","1:00.045","Quindío","CLUB MONSTER GARAGE","Yamaha","7","3.744","0.431",""
"7","692","Deibi Alexander naranjo vallejo","115 cc Inicio","1:00.150","Quindío","CLUB DISCOVER QUINDIO","Yamaha","4","3.849","0.105",""
"8","680","Juan Esteban RIVERA MARIN","115 cc Inicio","1:00.287","Santander","CLUB FLORIDA EXTREMO","Yamaha","4","3.986","0.137",""
"9","25","Jhon Deiby Escobar","115 cc Inicio","1:02.643","Cauca","","","4","6.342","2.356",""
"10","200-E","Geovanny rivera corredor","115 cc Inicio","1:04.714","Antioquia","STUNT FIVE","Yamaha","6","8.413","2.071",""
"11","115","William PEÑA CARDONA","115 cc Inicio","1:06.902","Antioquia","CLUB GRILLOS RACING","Yamaha","2","10.601","2.188",""
