"Pos.","N°","Nombre","Clase","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","98","Mateo CASTELLANOS CARVAJAL","115 cc Elite","Yamaha","56.869","12","10","15","","",""
"2","155","Juan Felipe HERNANDEZ ALZATE","115 cc Elite","Yamaha","56.529","12","12","13","3.701","3.701",""
"3","745-E","Jeronimo HENAO MARIN","115 cc Elite","Yamaha","58.937","12","10","11","4.567","0.866",""
"4","207","David Alejandro FORERO ZAPATA","115 cc Elite","Yamaha","59.481","12","9","10","13.949","9.382",""
"5","88","Gerardo camilo TORRES","115 cc Elite","Yamaha","58.570","12","10","9","16.527","2.578",""
"6","227","Rigo German SALAZAR CERON","115 cc Elite","Yamaha","58.505","12","10","8","17.535","1.008",""
"7","166","Johan Camilo GIRALDO RAMIREZ","115 cc Elite","Yamaha","59.156","12","10","7","22.093","4.558",""
"8","41","Nicolas DUQUE PATIÑO","115 cc Elite","Yamaha","58.850","12","11","6","23.752","1.659",""
"9","78","Hugo Alexander TOVAR OSORIO","115 cc Elite","Yamaha","58.866","12","11","5","36.480","12.728",""
"NT","424","Juan Manuel FORERO BANDERA","115 cc Elite","Yamaha","1:02.210","8","4","0","NT","",""
"NT","528","Juan Andres MARIN ARANGO","115 cc Elite","Yamaha","1:02.385","2","2","0","NT","",""
"NT","722","Edwin JARAMILLO GALLEGO","115 cc Elite","Yamaha","1:08.651","1","1","0","NT","",""
"NE","204","Andres Felipe LONDOÑO TRUJILLO","115 cc Elite","Yamaha","","","0","0","NE","",""
"NE","681","Andres Felipe RESTREPO CASTRILLON","115 cc Elite","Yamaha","","","0","0","NE","",""
