"Pos.","N°","Nombre","Clase","Mejor Tm","LIGA","CLUB","MOTO","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","98","Mateo CASTELLANOS CARVAJAL","115 cc Elite","54.761","Caldas","CLUB JHC RACING","Yamaha","2","","",""
"2","528","Juan Andres MARIN ARANGO","115 cc Elite","55.191","Valle del Cauca","MOTOCLUB TRAVESURAS","Yamaha","6","0.430","0.430",""
"3","207","David Alejandro FORERO ZAPATA","115 cc Elite","55.434","Putumayo","TEAM RACING MOCOA","Yamaha","5","0.673","0.243",""
"4","155","Juan Felipe HERNANDEZ ALZATE","115 cc Elite","55.656","Meta","CLUB LLANEROS RANCING","Yamaha","5","0.895","0.222",""
"5","227","Rigo German SALAZAR CERON","115 cc Elite","55.794","Quindío","CLUB MONSTER GARAGE","Yamaha","5","1.033","0.138",""
"6","745-E","Jeronimo HENAO MARIN","115 cc Elite","55.930","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","6","1.169","0.136",""
"7","41","Nicolas DUQUE PATIÑO","115 cc Elite","56.290","Meta","VILLAVICENCIO RACING CLUB","Yamaha","4","1.529","0.360",""
"8","88","Gerardo camilo TORRES","115 cc Elite","56.400","Valle del Cauca","Dos Ruedas Racing Team","Yamaha","6","1.639","0.110",""
"9","166","Johan Camilo GIRALDO RAMIREZ","115 cc Elite","57.017","Quindío","CLUB MONSTER GARAGE","Yamaha","3","2.256","0.617",""
"10","78","Hugo Alexander TOVAR OSORIO","115 cc Elite","57.893","Caldas","CLUB RACING PERFORMANCE","Yamaha","5","3.132","0.876",""
"11","204","Andres Felipe LONDOÑO TRUJILLO","115 cc Elite","58.492","Antioquia","CLUB GRILLOS RACING","Yamaha","5","3.731","0.599",""
"12","681","Andres Felipe RESTREPO CASTRILLON","115 cc Elite","58.554","Valle del Cauca","MOTOCLUB TRAVESURAS","Yamaha","4","3.793","0.062",""
"13","424","Juan Manuel FORERO BANDERA","115 cc Elite","59.306","Tolima","CLUB PISTON RACING","Yamaha","7","4.545","0.752",""
"14","722","Edwin JARAMILLO GALLEGO","115 cc Elite","1:00.990","Quindío","CLUB MONSTER GARAGE","Yamaha","3","6.229","1.684",""
"15","64-E","Nicolas EUSSE LONDOÑO","115 cc Elite","","Antioquia","STUNT FIVE","Yamaha","0","","",""
"16","710","Alexander DIAZ CASTAÑO","115 cc Elite","","Cundinamarca","CLUB GIRARDOT RACING","Yamaha","0","","",""
