"Pos.","N°","Nombre","Clase","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","41","Nicolas DUQUE PATIÑO","150 cc","Yamaha","53.570","10","5","15","","",""
"2","227","Rigo German SALAZAR CERON","150 cc","Yamaha","54.003","10","9","13","3.814","3.814",""
"3","88","Gerardo camilo TORRES","150 cc","Yamaha","53.939","10","7","11","8.217","4.403",""
"4","166","Johan Camilo GIRALDO RAMIREZ","150 cc","Yamaha","55.251","10","10","10","17.246","9.029",""
"5","64-E","Nicolas EUSSE LONDOÑO","150 cc","Yamaha","54.983","10","9","9","17.903","0.657",""
"6","98","Mateo CASTELLANOS CARVAJAL","150 cc","Yamaha","53.153","10","3","8","19.303","1.400",""
"7","204","Andres Felipe LONDOÑO TRUJILLO","150 cc","Yamaha","55.561","10","9","7","22.183","2.880",""
"8","155","Juan Felipe HERNANDEZ ALZATE","150 cc","Yamaha","55.226","10","5","6","34.226","12.043","Roba salida"
"9","78","Hugo Alexander TOVAR OSORIO","150 cc","Yamaha","56.932","10","5","5","44.968","10.742",""
"NT","745-E","Jeronimo HENAO MARIN","150 cc","Yamaha","55.465","4","2","0","NT","",""
"NT","528","Juan Andres MARIN ARANGO","150 cc","Yamaha","54.918","3","2","0","NT","",""
"NT","311","Sebastian Londoño","150 cc","Yamaha","56.644","2","2","0","NT","",""
"NT","207","David Alejandro FORERO ZAPATA","150 cc","Yamaha","57.583","2","2","0","NT","",""
"NE","375","Wilderman RAMIREZ","150 cc","Yamaha","","","0","0","NE","",""
"NE","681","Andres Felipe RESTREPO CASTRILLON","150 cc","Yamaha","","","0","0","NE","",""
