"Pos.","N°","Nombre","Clase","Mejor Tm","LIGA","CLUB","MOTO","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","41","Nicolas DUQUE PATIÑO","150 cc","53.849","Meta","VILLAVICENCIO RACING CLUB","Yamaha","5","","",""
"2","528","Juan Andres MARIN ARANGO","150 cc","54.028","Valle del Cauca","MOTOCLUB TRAVESURAS","Yamaha","4","0.179","0.179",""
"3","227","Rigo German SALAZAR CERON","150 cc","54.153","Quindío","CLUB MONSTER GARAGE","Yamaha","5","0.304","0.125",""
"4","88","Gerardo camilo TORRES","150 cc","54.331","Valle del Cauca","Dos Ruedas Racing Team","Yamaha","3","0.482","0.178",""
"5","745-E","Jeronimo HENAO MARIN","150 cc","54.743","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","4","0.894","0.412",""
"6","166","Johan Camilo GIRALDO RAMIREZ","150 cc","55.067","Quindío","CLUB MONSTER GARAGE","Yamaha","3","1.218","0.324",""
"7","155","Juan Felipe HERNANDEZ ALZATE","150 cc","55.994","Meta","CLUB LLANEROS RANCING","Yamaha","2","2.145","0.927",""
"8","207","David Alejandro FORERO ZAPATA","150 cc","56.255","Putumayo","TEAM RACING MOCOA","Yamaha","3","2.406","0.261",""
"9","204","Andres Felipe LONDOÑO TRUJILLO","150 cc","56.277","Antioquia","CLUB GRILLOS RACING","Yamaha","5","2.428","0.022",""
"10","78","Hugo Alexander TOVAR OSORIO","150 cc","56.914","Caldas","CLUB RACING PERFORMANCE","Yamaha","3","3.065","0.637",""
"11","311","Sebastian Londoño","150 cc","57.050","Caldas","","Yamaha","5","3.201","0.136",""
"12","98","Mateo CASTELLANOS CARVAJAL","150 cc","1:17.494","Caldas","CLUB JHC RACING","Yamaha","1","23.645","20.444",""
"13","681","Andres Felipe RESTREPO CASTRILLON","150 cc","3:00.425","Valle del Cauca","MOTOCLUB TRAVESURAS","Yamaha","1","2:06.576","1:42.931",""
"14","375","Wilderman RAMIREZ","150 cc","","Antioquia","CLUB GRILLOS RACING","Yamaha","0","","",""
