"Pos.","N°","Nombre","Clase","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","227","Rigo German SALAZAR CERON","Supermoto","Yamaha","50.696","12","5","15","","",""
"2","721","Juan Andres RODRIGUEZ ARIAS","Supermoto","Husqvarna","51.301","12","6","13","0.779","0.779",""
"3","41","Nicolas DUQUE PATIÑO","Supermoto","Husqvarna","51.177","12","4","11","1.092","0.313",""
"4","528","Juan Andres MARIN ARANGO","Supermoto","Husqvarna","51.293","12","5","10","13.876","12.784",""
"5","207","David Alejandro FORERO ZAPATA","Supermoto","Husqvarna","51.939","12","5","9","14.956","1.080",""
"6","228","Julián Felipe GALLEGO CORREA","Supermoto","KTM","51.975","12","9","8","15.221","0.265",""
"7","155","Juan Felipe HERNANDEZ ALZATE","Supermoto","Husqvarna","51.897","12","11","7","17.902","2.681",""
"8","98","Mateo CASTELLANOS CARVAJAL","Supermoto","Yamaha","50.216","12","6","6","21.696","3.794","Roba salida"
"9","64-E","Nicolas EUSSE LONDOÑO","Supermoto","Yamaha","52.890","12","3","5","26.498","4.802",""
"10","59","Carlos Andres Urrea Henao","Supermoto","Yamaha","51.476","12","4","4","33.186","6.688",""
"11","166","Johan Camilo GIRALDO RAMIREZ","Supermoto","Yamaha","53.071","12","3","3","42.926","9.740",""
"12","204","Andres Felipe LONDOÑO TRUJILLO","Supermoto","Husqvarna","52.679","12","9","2","46.251","3.325",""
"13","989","Juan David GAVIRIA AGUDELO","Supermoto","Husqvarna","54.890","12","6","1","51.592","5.341",""
"14","568-E","Juan Sebastián Arango Giraldo","Supermoto","Yamaha","55.337","11","8","1","1 Vuelta","1 Vuelta",""
"NE","375","Wilderman RAMIREZ","Supermoto","Husqvarna","","","0","0","NE","",""
