"Pos.","N°","Nombre","Clase","Mejor Tm","LIGA","CLUB","MOTO","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","98","Mateo CASTELLANOS CARVAJAL","Supermoto","50.645","Caldas","CLUB JHC RACING","Yamaha","4","","",""
"2","227","Rigo German SALAZAR CERON","Supermoto","51.043","Quindío","CLUB MONSTER GARAGE","Yamaha","7","0.398","0.398",""
"3","721","Juan Andres RODRIGUEZ ARIAS","Supermoto","51.123","Caldas","CLUB MX PRO","Husqvarna","9","0.478","0.080",""
"4","41","Nicolas DUQUE PATIÑO","Supermoto","51.335","Meta","VILLAVICENCIO RACING CLUB","Husqvarna","7","0.690","0.212",""
"5","228","Julián Felipe GALLEGO CORREA","Supermoto","51.469","Caldas","CLUB MX PRO MANIZALES","KTM","3","0.824","0.134",""
"6","155","Juan Felipe HERNANDEZ ALZATE","Supermoto","51.503","Meta","CLUB LLANEROS RANCING","Husqvarna","5","0.858","0.034",""
"7","59","Carlos Andres Urrea Henao","Supermoto","51.579","Antioquia","CLUB GRILLOS RACING","Yamaha","9","0.934","0.076",""
"8","528","Juan Andres MARIN ARANGO","Supermoto","51.843","Valle del Cauca","MOTOCLUB TRAVESURAS","Husqvarna","5","1.198","0.264",""
"9","64-E","Nicolas EUSSE LONDOÑO","Supermoto","52.414","Antioquia","STUNT FIVE","Yamaha","5","1.769","0.571",""
"10","207","David Alejandro FORERO ZAPATA","Supermoto","52.473","Putumayo","TEAM RACING MOCOA","Husqvarna","6","1.828","0.059",""
"11","166","Johan Camilo GIRALDO RAMIREZ","Supermoto","52.590","Quindío","CLUB MONSTER GARAGE","Yamaha","7","1.945","0.117",""
"12","204","Andres Felipe LONDOÑO TRUJILLO","Supermoto","53.287","Antioquia","CLUB GRILLOS RACING","Husqvarna","9","2.642","0.697",""
"13","989","Juan David GAVIRIA AGUDELO","Supermoto","54.268","Caldas","CLUB RACING PERFORMANCE","Husqvarna","6","3.623","0.981",""
"14","568-E","Juan Sebastián Arango Giraldo","Supermoto","55.454","Antioquia","Club Deportivo Terras de San Marinno","Yamaha","6","4.809","1.186",""
"15","375","Wilderman RAMIREZ","Supermoto","","Antioquia","CLUB GRILLOS RACING","Husqvarna","0","","",""
