"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","CR ","CR "
"1","227","Rigo German SALAZAR CERON","Supermoto","24","0","Yamaha","15","9"
"2","41","Nicolas DUQUE PATIÑO","Supermoto","22","2","Husqvarna","11","11"
"3","721","Juan Andres RODRIGUEZ ARIAS","Supermoto","21","3","Husqvarna","13","8"
"4","59","Carlos Andres Urrea Henao","Supermoto","19","5","Yamaha","4","15"
"5","64-E","Nicolas EUSSE LONDOÑO","Supermoto","18","6","Yamaha","5","13"
"6","98","Mateo CASTELLANOS CARVAJAL","Supermoto","16","8","Yamaha","6","10"
"7","228","Julián Felipe GALLEGO CORREA","Supermoto","15","9","KTM","8","7"
"8","207","David Alejandro FORERO ZAPATA","Supermoto","13","11","Husqvarna","9","4"
"9","528","Juan Andres MARIN ARANGO","Supermoto","10","14","Husqvarna","10","0"
"10","989","Juan David GAVIRIA AGUDELO","Supermoto","7","17","Husqvarna","1","6"
"11","204","Andres Felipe LONDOÑO TRUJILLO","Supermoto","7","17","Husqvarna","2","5"
"12","155","Juan Felipe HERNANDEZ ALZATE","Supermoto","7","17","Husqvarna","7","0"
"13","568-E","Juan Sebastián Arango Giraldo","Supermoto","4","20","Yamaha","1","3"
"14","166","Johan Camilo GIRALDO RAMIREZ","Supermoto","3","21","Yamaha","3","0"
"NE","375","Wilderman RAMIREZ","Supermoto","0","24","Husqvarna","0","0"
