"Pos.","N°","Nombre","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Puntos","Total T°","Comentario"
"1","141","Isabela VILLEGAS BRAND","Femenina","1:37.838","2","","","15","16:45.280",""
"2","20","Salome HERNANDEZ AGUILAR","Femenina","1:49.672","8","1:56.465","1:56.465","13","18:41.745",""
"3","516","Laura Sofia BALCAZAR","Femenina","2:27.563","2","3 Vueltas","3 Vueltas","11","18:05.180",""
"4","19","Sandra Yamileth SALAZAR","Femenina","2:15.277","2","4 Vueltas","1 Vuelta","10","21:26.124",""
"5","116","Ivanna ZULETA HOYOS","Femenina","1:44.866","4","2:26.665","30.200","1","19:11.945","Ayuda externa"
"","419","Karen Luciana PRIETO AGUILAR","Femenina","4:15.969","2","5 Vueltas","1 Vuelta","0","19:16.005",""
"NT","912","Laura Camila Bernal Cano","Femenina","2:28.159","4","NT","","0","16:28.213",""
"NT","O-931","Valery Sarria","Femenina","3:20.364","2","NT","","0","11:59.685",""
"NT","212","Salome MENDEZ SAMBONI","Femenina","8:57.273","2","NT","","0","12:29.356",""
"NT","O-506","Salome Giraldo Ramos","Femenina","","0","NT","","0","11:37.287",""
"NT","28","Sofia ESCOBAR HINCAPIE","Femenina","","0","NT","","0","",""
"NT","O-422","Nikol Obando","Femenina","","0","NT","","0","",""
