"Pos.","N°","Nombre","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Puntos","Total T°","Comentario"
"1","141","Isabela VILLEGAS BRAND","Femenina","1:17.675","1","","","3","9:47.894",""
"2","116","Ivanna ZULETA HOYOS","Femenina","1:20.031","4","6.056","6.056","2","9:53.950",""
"3","28","Sofia ESCOBAR HINCAPIE","Femenina","1:19.558","5","15.104","9.048","1","10:02.998",""
"4","20","Salome HERNANDEZ AGUILAR","Femenina","1:22.328","4","29.287","14.183","1","10:17.181",""
"5","419","Karen Luciana PRIETO AGUILAR","Femenina","1:19.306","2","32.965","3.678","1","10:20.859",""
"6","19","Sandra Yamileth SALAZAR","Femenina","1:30.800","4","1 Vuelta","1 Vuelta","1","9:53.671",""
"7","912","Laura Camila Bernal Cano","Femenina","1:30.973","3","1 Vuelta","11.135","1","10:04.806",""
"8","O-422","Nikol Obando","Femenina","1:32.437","3","1 Vuelta","13.130","1","10:17.936",""
"9","O-506","Salome Giraldo Ramos","Femenina","1:34.428","4","1 Vuelta","4.599","1","10:22.535",""
"10","212","Salome MENDEZ SAMBONI","Femenina","1:31.968","3","1 Vuelta","1.203","1","10:23.738",""
"11","516","Laura Sofia BALCAZAR","Femenina","1:29.254","1","1 Vuelta","25.246","1","10:48.984",""
"12","O-931","Valery Sarria","Femenina","1:41.615","3","3 Vueltas","2 Vueltas","1","11:26.972",""
