"Pos.","N°","Nombre","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Puntos","Total T°","Comentario"
"1","114","Miguel Angel LOPEZ MARTINEZ","Juvenil","1:06.726","1","","","3","8:32.213",""
"2","139","Valentino ZULETA CARDONA","Juvenil","1:10.769","3","30.751","30.751","2","9:02.964",""
"3","12","Thomas MESA RONDON","Juvenil","1:11.784","5","36.956","6.205","1","9:09.169",""
"4","420","Esteban ARCILA ACEVEDO","Juvenil","1:13.331","3","41.836","4.880","1","9:14.049",""
"5","626","Juan Antonio PIEDRAHITA VARELA","Juvenil","1:11.341","6","44.630","2.794","1","9:16.843",""
"6","120","Matias GOMEZ ORJUELA","Juvenil","1:13.892","3","56.073","11.443","1","9:28.286",""
"7","51-E","DAIAN OBANDO","Juvenil","1:13.656","4","59.831","3.758","1","9:32.044",""
"8","715","Joan esteban Valdez Osorio","Juvenil","1:13.112","5","1:03.203","3.372","1","9:35.416",""
"9","130","Santiago GUTIERREZ CASTILLO","Juvenil","1:14.766","6","1:09.171","5.968","1","9:41.384",""
"10","630","Samuel Andres PINTO DUARTE","Juvenil","1:14.856","4","1:11.172","2.001","1","9:43.385",""
"11","815","kevin GONZALEZ PIEDRAHITA","Juvenil","1:15.755","5","1:14.923","3.751","1","9:47.136",""
"12","313","Pedro BARDAWIL ZULUAGA","Juvenil","1:16.893","3","1 Vuelta","1 Vuelta","1","8:32.902",""
"13","822","Mateo Orozco vasquez","Juvenil","1:19.546","5","1 Vuelta","12.848","1","8:45.750",""
"14","24","Esteban CARDENAS RUIZ","Juvenil","1:20.056","5","1 Vuelta","0.332","1","8:46.082",""
"15","416","David Alejandro CARVAJAL FLOREZ","Juvenil","1:20.437","5","1 Vuelta","2.327","1","8:48.409",""
"16","888","Maximiliano YEPES ZAMORANO","Juvenil","1:19.751","3","1 Vuelta","1.648","0","8:50.057",""
"17","146","Gabriel Alejandro MESA ARROYO","Juvenil","1:20.483","1","1 Vuelta","2.720","0","8:52.777",""
"18","615","samuel hernandez rabe","Juvenil","1:22.987","3","1 Vuelta","19.897","0","9:12.674",""
"19","113","Tomas VERGARA ARANZAZU","Juvenil","1:13.390","3","2 Vueltas","1 Vuelta","0","9:22.786",""
"20","131","Agustin Toro Montoya","Juvenil","1:21.379","2","3 Vueltas","1 Vuelta","0","6:36.991",""
