"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","Comentario","R1. ","R2. ","R3. "
"1","114","Miguel Angel LOPEZ MARTINEZ","Juvenil","33","0","GasGas","Quindío","CLUB RUTEROS DEL QUINDIO","","3","15","15"
"2","139","Valentino ZULETA CARDONA","Juvenil","28","5","KTM","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","","2","13","13"
"3","113","Tomas VERGARA ARANZAZU","Juvenil","22","11","Yamaha","Antioquia","CLUB MOTOCROSS DE YARUMAL","","0","11","11"
"4","130","Santiago GUTIERREZ CASTILLO","Juvenil","21","12","GasGas","Bogotá D.C.","Todo terreno track","","1","10","10"
"5","120","Matias GOMEZ ORJUELA","Juvenil","18","15","KTM","Bogotá D.C.","Todo terreno track","","1","8","9"
"6","420","Esteban ARCILA ACEVEDO","Juvenil","16","17","KTM","Risaralda","CLUB LOS GUEPARDOS","","1","9","6"
"7","715","Joan esteban Valdez Osorio","Juvenil","13","20","Yamaha","Quindío","CLUB RUTEROS DEL QUINDIO","","1","5","7"
"8","12","Thomas MESA RONDON","Juvenil","11","22","KTM","Caldas","CLUB DE MOTOCICLISMO LA DORADA","","1","2","8"
"9","24","Esteban CARDENAS RUIZ","Juvenil","9","24","KTM","Quindío","CLUB RUTEROS DEL QUINDIO","","1","6","2"
"10","626","Juan Antonio PIEDRAHITA VARELA","Juvenil","9","24","KTM","Risaralda","CLUB LOS GUEPARDOS","","1","7","1"
"11","313","Pedro BARDAWIL ZULUAGA","Juvenil","7","26","GasGas","Tolima","GR 522 RACING","","1","1","5"
"12","O-32","","Juvenil","6","27","","","","","--","3","3"
"13","416","David Alejandro CARVAJAL FLOREZ","Juvenil","6","27","GasGas","Santander","CLUB MOTO FULL RACING TEAM","","1","4","1"
"14","815","kevin GONZALEZ PIEDRAHITA","Juvenil","5","28","Yamaha","Quindío","CLUB DISCOVER QUINDIO","","1","0","4"
"15","51-E","DAIAN OBANDO","Juvenil","3","30","Husqvarna","Valle del Cauca","Carasucias","","1","1","1"
"16","146","Gabriel Alejandro MESA ARROYO","Juvenil","1","32","Yamaha","Nariño","CLUB BUFALO XTREM PARK","","0","1","0"
"17","822","Mateo Orozco vasquez","Juvenil","1","32","Husqvarna","Valle del Cauca","Carasucias","","1","0","0"
"18","630","Samuel Andres PINTO DUARTE","Juvenil","1","32","Yamaha","Meta","VILLAVICENCIO RACING CLUB","","1","0","0"
"19","615","samuel hernandez rabe","Juvenil","0","33","GasGas","Valle del Cauca","Carasucias","","0","0","0"
"20","131","Agustin Toro Montoya","Juvenil","0","33","KTM","Caldas","CLUB VILLAMARIA RACING CLUB","","0","0","0"
"21","888","Maximiliano YEPES ZAMORANO","Juvenil","0","33","Yamaha","Antioquia","CLUB GRILLOS RACING","","0","0","0"
