"Pos.","N°","Nombre","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Puntos","Total T°","Comentario"
"1","88","Edison SAntiago GONZALEZ VELOZA","Libre novatos","1:20.139","2","","","15","14:20.634",""
"2","444","Faber Andrés giraldo","Libre novatos","1:22.831","2","13.373","13.373","13","14:34.007",""
"3","81","Santiago Garcés Jiménez","Libre novatos","1:21.347","10","14.026","0.653","11","14:34.660",""
"4","217","Hector Fabio Restrepo","Libre novatos","1:21.076","4","34.387","20.361","10","14:55.021",""
"5","172","Brian Stiven ALVAREZ GRISALES","Libre novatos","1:22.346","8","34.503","0.116","9","14:55.137",""
"6","O-225","","Libre novatos","1:23.056","4","41.262","6.759","8","15:01.896",""
"7","92","Nelson Osorio","Libre novatos","1:24.582","8","49.129","7.867","7","15:09.763",""
"8","821-E","John Fredy Hernández Osorio","Libre novatos","1:23.350","4","50.497","1.368","6","15:11.131",""
"9","829","Jhoan felipe collazos rojas","Libre novatos","1:25.589","3","1:02.073","11.576","5","15:22.707",""
"10","26","Rene Alberto ACOSTA CRIOLLO","Libre novatos","1:29.053","3","1:30.663","28.590","4","15:51.297",""
"11","630","Samuel Andres PINTO DUARTE","Libre novatos","1:37.661","2","2 Vueltas","2 Vueltas","3","14:46.705",""
"NT","78","Andres felipe eraso moncayo","Libre novatos","","0","NT","","0","",""
