"Pos.","N°","Nombre","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Puntos","Total T°","Comentario"
"1","217","Hector Fabio Restrepo","Libre novatos","1:12.244","1","","","3","10:03.531",""
"2","821-E","John Fredy Hernández Osorio","Libre novatos","1:14.040","2","11.364","11.364","2","10:14.895",""
"3","172","Brian Stiven ALVAREZ GRISALES","Libre novatos","1:13.828","4","11.660","0.296","1","10:15.191",""
"4","O-225","","Libre novatos","1:12.874","4","12.528","0.868","1","10:16.059",""
"5","81","Santiago Garcés Jiménez","Libre novatos","1:13.856","6","14.993","2.465","1","10:18.524",""
"6","630","Samuel Andres PINTO DUARTE","Libre novatos","1:12.260","7","15.565","0.572","1","10:19.096",""
"7","26","Rene Alberto ACOSTA CRIOLLO","Libre novatos","1:16.376","2","34.890","19.325","1","10:38.421",""
"8","92","Nelson Osorio","Libre novatos","1:16.057","4","36.862","1.972","1","10:40.393",""
"9","829","Jhoan felipe collazos rojas","Libre novatos","1:17.158","1","50.708","13.846","1","10:54.239",""
"10","444","Faber Andrés giraldo","Libre novatos","1:13.973","1","1:00.486","9.778","1","11:04.017",""
"11","88","Edison SAntiago GONZALEZ VELOZA","Libre novatos","1:13.950","1","2 Vueltas","2 Vueltas","1","10:54.772",""
"NT","78","Andres felipe eraso moncayo","Libre novatos","","0","NT","","1","",""
