"Pos.","N°","Nombre","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Puntos","Total T°","Comentario"
"1","114","Miguel Angel LOPEZ MARTINEZ","Libre pro","1:11.310","1","","","15","16:27.671",""
"2","563","Jhon Jader Valero Palencia","Libre pro","1:16.027","3","44.808","44.808","13","17:12.479",""
"3","199","Nicolas Felipe REY REY","Libre pro","1:14.955","3","48.172","3.364","11","17:15.843",""
"4","937","Jose Miguel MAYOR BEDOYA","Libre pro","1:18.157","8","1 Vuelta","1 Vuelta","10","16:28.201",""
"5","O-423","Juan Camilo Obando","Libre pro","1:20.230","4","1 Vuelta","40.228","9","17:08.429",""
"6","O-444","Faber Andres Giraldo","Libre pro","1:20.357","2","1 Vuelta","13.669","8","17:22.098",""
"7","411","Juan Sebastian GIRON CARVAJAL","Libre pro","1:22.524","5","1 Vuelta","17.119","7","17:39.217",""
"8","346","Yurk Breiner CORREA PEREZ","Libre pro","1:23.251","3","1 Vuelta","11.585","6","17:50.802",""
"9","229","Rubén Dario peña hoyos","Libre pro","1:21.879","4","2 Vueltas","1 Vuelta","5","16:44.256",""
"10","722","Alan HERNANDEZ RABE","Libre pro","1:21.682","1","2 Vueltas","15.455","4","16:59.711",""
"11","710","Juan David MENDOZA DUARTE","Libre pro","1:22.547","3","3 Vueltas","1 Vuelta","3","17:03.276",""
"NT","O-217","Hector Fabio Restrepo","Libre pro","1:20.264","2","NT","","0","6:53.287",""
"NT","983","EDINSON ANDRES CASAS PLAZA","Libre pro","","0","NT","","0","1:59.886",""
"NT","269","Jhon santiago HERNANDEZ BERMUDEZ","Libre pro","","0","NT","","0","",""
"NT","318","Samuel ARDILA","Libre pro","","0","NT","","0","",""
"NT","814","Abel Eduardo CARABALI CARABALI","Libre pro","","0","NT","","0","",""
