"Pos.","N°","Nombre","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Puntos","Total T°","Comentario"
"1","114","Miguel Angel LOPEZ MARTINEZ","Libre pro","1:09.851","3","","","15","10:13.190",""
"2","563","Jhon Jader Valero Palencia","Libre pro","1:13.158","2","14.995","14.995","13","10:28.185",""
"3","199","Nicolas Felipe REY REY","Libre pro","1:15.523","4","41.914","26.919","11","10:55.104",""
"4","983","EDINSON ANDRES CASAS PLAZA","Libre pro","1:14.462","4","1:00.571","18.657","10","11:13.761",""
"5","318","Samuel ARDILA","Libre pro","1:14.620","5","1:06.845","6.274","9","11:20.035",""
"6","229","Rubén Dario peña hoyos","Libre pro","1:20.319","6","1 Vuelta","1 Vuelta","8","10:19.442",""
"7","710","Juan David MENDOZA DUARTE","Libre pro","1:22.016","3","1 Vuelta","7.867","7","10:27.309",""
"8","O-423","Juan Camilo Obando","Libre pro","1:23.946","3","1 Vuelta","17.074","6","10:44.383",""
"9","937","Jose Miguel MAYOR BEDOYA","Libre pro","1:23.266","6","1 Vuelta","5.143","5","10:49.526",""
"10","411","Juan Sebastian GIRON CARVAJAL","Libre pro","1:19.515","3","1 Vuelta","0.951","4","10:50.477",""
"11","O-444","Faber Andres Giraldo","Libre pro","1:24.937","4","1 Vuelta","3.646","3","10:54.123",""
"12","722","Alan HERNANDEZ RABE","Libre pro","1:26.044","4","1 Vuelta","11.004","2","11:05.127",""
"13","269","Jhon santiago HERNANDEZ BERMUDEZ","Libre pro","1:26.833","4","2 Vueltas","1 Vuelta","1","11:11.116",""
"NT","O-217","Hector Fabio Restrepo","Libre pro","1:30.645","2","NT","","0","3:35.824",""
"NT","814","Abel Eduardo CARABALI CARABALI","Libre pro","","0","NT","","0","",""
