"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","Comentario","R1. ","R2. ","R3. "
"1","114","Miguel Angel LOPEZ MARTINEZ","Libre pro","45","0","GasGas","Quindío","CLUB RUTEROS DEL QUINDIO","","15","15","15"
"2","563","Jhon Jader Valero Palencia","Libre pro","39","6","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","","13","13","13"
"3","199","Nicolas Felipe REY REY","Libre pro","33","12","KTM","Cundinamarca","CLUB IGUANA RACING GIRARDOT","","11","11","11"
"4","O-423","Juan Camilo Obando","Libre pro","21","24","","Valle","","","6","6","9"
"5","983","EDINSON ANDRES CASAS PLAZA","Libre pro","20","25","KTM","Huila","CLUB MOTO JAPONESA","","10","10","0"
"6","937","Jose Miguel MAYOR BEDOYA","Libre pro","19","26","KTM","Valle del Cauca","Carasucias","","5","4","10"
"7","O-444","Faber Andres Giraldo","Libre pro","19","26","","Valle","","","3","8","8"
"8","318","Samuel ARDILA","Libre pro","18","27","GasGas","Antioquia","CLUB GRILLOS RACING","","9","9","0"
"9","411","Juan Sebastian GIRON CARVAJAL","Libre pro","14","31","Husqvarna","Risaralda","CLUB LOS GUEPARDOS","","4","3","7"
"10","346","Yurk Breiner CORREA PEREZ","Libre pro","13","32","Husqvarna","Tolima","CLUB PISTON RACING","","--","7","6"
"11","229","Rubén Dario peña hoyos","Libre pro","13","32","Yamaha","Valle del Cauca","Carasucias","","8","0","5"
"12","710","Juan David MENDOZA DUARTE","Libre pro","12","33","Yamaha","Meta","VILLAVICENCIO RACING CLUB","","7","2","3"
"13","722","Alan HERNANDEZ RABE","Libre pro","11","34","Sherco","Valle del Cauca","Carasucias","","2","5","4"
"14","269","Jhon santiago HERNANDEZ BERMUDEZ","Libre pro","1","44","Yamaha","Valle del Cauca","Carasucias","","1","0","0"
"NT","O-217","Hector Fabio Restrepo","Libre pro","0","45","","Valle","","","0","0","0"
"NT","814","Abel Eduardo CARABALI CARABALI","Libre pro","0","45","Yamaha","Valle del Cauca","Carasucias","","0","0","0"
