"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","Comentario","R1. ","R2. ","R3. "
"1","172","Brian Stiven ALVAREZ GRISALES","200 Novatos","27","0","Honda","Tolima","CLUB PISTON RACING","","1","11","15"
"2","26","Rene Alberto ACOSTA CRIOLLO","200 Novatos","27","0","Yamaha","Quindío","CLUB RUTEROS DEL QUINDIO","","1","13","13"
"3","88","Edison SAntiago GONZALEZ VELOZA","200 Novatos","27","0","Honda","Tolima","CLUB PISTON RACING","","1","15","11"
"4","92","Nelson Osorio","200 Novatos","21","6","Honda","Valle del Cauca","Carasucias","","1","10","10"
"5","81","Santiago Garcés Jiménez","200 Novatos","16","11","Honda","Cauca","CLUB CORONA CLUB XTREME PARK","","2","5","9"
"6","O-730","","200 Novatos","16","11","","","","","1","7","8"
"7","24","Esteban CARDENAS RUIZ","200 Novatos","16","11","Yamaha","Quindío","CLUB RUTEROS DEL QUINDIO","","1","8","7"
"8","91","Sergio Martinez Aguirre","200 Novatos","16","11","Honda","Caldas","CLUB VILLAMARIA RACING CLUB","","3","9","4"
"9","225","Andres Felipe RAMIREZ CORTES","200 Novatos","13","14","Yamaha","Nariño","CLUB BUFALO XTREM PARK","","1","6","6"
"10","112","Jonathan Echeverry Toro","200 Novatos","6","21","Yamaha","Caldas","CLUB VILLAMARIA RACING CLUB","","1","0","5"
"11","O-90","Carlos Andres Pinilla","200 NOVATOS","1","26","","Valle","","","1","0","0"
"12","217","Hector Fabio Restrepo","200 Novatos","1","26","Yamaha","Valle del Cauca","Carasucias","","1","0","0"
