"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","Q ","R1 ","R2 "
"1","114","Miguel Angel LOPEZ MARTINEZ","125 cc","33","0","Husqvarna","Quindío","CLUB RUTEROS DEL QUINDIO","3","15","15"
"2","228","Jeronimo DAMELINES LOAIZA","125 cc","25","8","Yamaha","Risaralda","CLUB LOS GUEPARDOS","2","10","13"
"3","722","Alan HERNANDEZ RABE","125 cc","23","10","Sherco","Valle del Cauca","Carasucias","1","11","11"
"4","710","Juan David MENDOZA DUARTE","125 cc","23","10","Husqvarna","Meta","VILLAVICENCIO RACING CLUB","1","13","9"
"5","630","Samuel Andres PINTO DUARTE","125 cc","18","15","Yamaha","Meta","VILLAVICENCIO RACING CLUB","1","9","8"
"6","130","Santiago GUTIERREZ CASTILLO","125 cc","16","17","GasGas","Bogotá D.C.","Todo terreno track","1","8","7"
"7","199","Nicolas Felipe REY REY","125 cc","14","19","KTM","Cundinamarca","CLUB IGUANA RACING GIRARDOT","1","3","10"
"8","411","Juan Sebastian GIRON CARVAJAL","125 cc","13","20","Husqvarna","Risaralda","CLUB LOS GUEPARDOS","1","6","6"
"9","244","Alejandro ANGEL ISAZA","125 cc","12","21","Yamaha","Valle del Cauca","Carasucias","1","7","4"
"10","715","Joan esteban Valdez Osorio","125 cc","11","22","KTM","Quindío","CLUB RUTEROS DEL QUINDIO","1","5","5"
"11","612","Alejandro DIAZ GARCIA","125 cc","5","28","Yamaha","Valle del Cauca","Carasucias","1","1","3"
"12","146","Gabriel Alejandro MESA ARROYO","125 cc","5","28","Yamaha","Nariño","CLUB DEPORTIVO BUFALO XTREM","1","2","2"
"13","113","Tomas VERGARA ARANZAZU","125 cc","5","28","Yamaha","Antioquia","CLUB MOTOCROSS DE YARUMAL","1","4","0"
"14","926","Santiago LEON","125 cc","1","32","Yamaha","Quindío","CLUB RUTEROS DEL QUINDIO","1","0","0"
