"Pos.","N°","Nombre","Puntos","LIGA","MOTO","CLUB","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","114","Miguel Angel LOPEZ MARTINEZ","3","Quindío","Husqvarna","CLUB RUTEROS DEL QUINDIO","125 cc","1:02.030","7","","",""
"2","228","Jeronimo DAMELINES LOAIZA","2","Risaralda","Yamaha","CLUB LOS GUEPARDOS","125 cc","1:04.714","6","2.684","2.684",""
"3","199","Nicolas Felipe REY REY","1","Cundinamarca","KTM","CLUB IGUANA RACING GIRARDOT","125 cc","1:06.683","2","4.653","1.969",""
"4","113","Tomas VERGARA ARANZAZU","1","Antioquia","Yamaha","CLUB MOTOCROSS DE YARUMAL","125 cc","1:07.696","6","5.666","1.013",""
"5","722","Alan HERNANDEZ RABE","1","Valle del Cauca","Sherco","Carasucias","125 cc","1:08.729","1","6.699","1.033",""
"6","130","Santiago GUTIERREZ CASTILLO","1","Bogotá D.C.","GasGas","Todo terreno track","125 cc","1:09.447","5","7.417","0.718",""
"7","710","Juan David MENDOZA DUARTE","1","Meta","Husqvarna","VILLAVICENCIO RACING CLUB","125 cc","1:09.472","8","7.442","0.025",""
"8","244","Alejandro ANGEL ISAZA","1","Valle del Cauca","Yamaha","Carasucias","125 cc","1:09.765","2","7.735","0.293",""
"9","630","Samuel Andres PINTO DUARTE","1","Meta","Yamaha","VILLAVICENCIO RACING CLUB","125 cc","1:10.444","6","8.414","0.679",""
"10","411","Juan Sebastian GIRON CARVAJAL","1","Risaralda","Husqvarna","CLUB LOS GUEPARDOS","125 cc","1:10.933","2","8.903","0.489",""
"11","926","Santiago LEON","1","Quindío","Yamaha","CLUB RUTEROS DEL QUINDIO","125 cc","1:11.817","1","9.787","0.884",""
"12","715","Joan esteban Valdez Osorio","1","Quindío","KTM","CLUB RUTEROS DEL QUINDIO","125 cc","1:12.059","2","10.029","0.242",""
"13","146","Gabriel Alejandro MESA ARROYO","1","Nariño","Yamaha","CLUB DEPORTIVO BUFALO XTREM","125 cc","1:15.041","5","13.011","2.982",""
"14","612","Alejandro DIAZ GARCIA","1","Valle del Cauca","Yamaha","Carasucias","125 cc","1:16.989","6","14.959","1.948",""
