"Pos.","N°","Nombre","Puntos","LIGA","MOTO","CLUB","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","139","Valentino ZULETA CARDONA","3","Antioquia","Yamaha","CLUB ANTIOQUIA 2 RUEDAS RACER","Infantil","1:12.425","7","","",""
"2","888","Maximiliano YEPES ZAMORANO","2","Antioquia","Yamaha","CLUB GRILLOS RACING","Infantil","1:13.561","7","1.136","1.136",""
"3","121","Martin LONDOÑO VARGAS","1","Bogotá D.C.","Cobra","Xspeed Racing","Infantil","1:15.168","7","2.743","1.607",""
"4","718","Emiliano IDROBO SERNA","1","Risaralda","Husqvarna","CLUB LOS GUEPARDOS","Infantil","1:16.639","6","4.214","1.471",""
"5","801","Samuel MAYA SANCHEZ","1","Valle del Cauca","Yamaha","Carasucias","Infantil","1:17.585","5","5.160","0.946",""
"6","215","Sebastian LOPEZ CORTES","1","Nariño","KTM","CLUB DEPORTIVO BUFALO XTREM","Infantil","1:20.452","3","8.027","2.867",""
"7","729","Martin RODRIGUEZ ARANGO","1","Tolima","Husqvarna","CLUB BUNDE ESPINAL","Infantil","1:21.054","5","8.629","0.602",""
"8","717","Mariana ARISMEDI TRUJILLO","1","Bogotá D.C.","KTM","Todo terreno track","Infantil","1:22.788","5","10.363","1.734",""
"9","28","Sofia ESCOBAR HINCAPIE","1","Caldas","KTM","CLUB VILLAMARIA RACING CLUB","Infantil","1:23.417","1","10.992","0.629",""
"10","272","Maximiliano TEJADA GONZALEZ","1","Cauca","GasGas","CLUB CORONA","Infantil","1:25.839","6","13.414","2.422",""
"11","E-566","Nicolas castañeda ruiz","1","Valle del Cauca","Husqvarna","Carasucias","Infantil","1:31.297","4","18.872","3.795",""
"12","212","Salome MENDEZ SAMBONI","1","Cauca","GasGas","CLUB CORONA CLUB XTREME PARK","Infantil","1:36.769","1","24.344","5.472",""
"13","49","Ivvana Rugeles Avendaño","0","Caldas","KTM","CLUB VILLAMARIA RACING CLUB","Infantil","1:27.502","2","15.077","1.663","AYUDA EXT."
