"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","Q ","R1 ","R2 "
"1","139","Valentino ZULETA CARDONA","Infantil","33","0","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","3","15","15"
"2","888","Maximiliano YEPES ZAMORANO","Infantil","26","7","Yamaha","Antioquia","CLUB GRILLOS RACING","2","11","13"
"3","121","Martin LONDOÑO VARGAS","Infantil","24","9","Cobra","Bogotá D.C.","Xspeed Racing","1","13","10"
"4","801","Samuel MAYA SANCHEZ","Infantil","22","11","Yamaha","Valle del Cauca","Carasucias","1","10","11"
"5","729","Martin RODRIGUEZ ARANGO","Infantil","17","16","Husqvarna","Tolima","CLUB BUNDE ESPINAL","1","8","8"
"6","717","Mariana ARISMEDI TRUJILLO","Infantil","17","16","KTM","Bogotá D.C.","Todo terreno track","1","9","7"
"7","718","Emiliano IDROBO SERNA","Infantil","15","18","Husqvarna","Risaralda","CLUB LOS GUEPARDOS","1","5","9"
"8","272","Maximiliano TEJADA GONZALEZ","Infantil","13","20","GasGas","Cauca","CLUB CORONA","1","6","6"
"9","212","Salome MENDEZ SAMBONI","Infantil","11","22","GasGas","Cauca","CLUB CORONA CLUB XTREME PARK","1","7","3"
"10","E-566","Nicolas castañeda ruiz","Infantil","9","24","Husqvarna","Valle del Cauca","Carasucias","--","4","5"
"11","215","Sebastian LOPEZ CORTES","Infantil","5","28","KTM","Nariño","CLUB DEPORTIVO BUFALO XTREM","1","0","4"
"12","49","Ivvana Rugeles Avendaño","Infantil","4","29","KTM","Caldas","CLUB VILLAMARIA RACING CLUB","0","2","2"
"13","28","Sofia ESCOBAR HINCAPIE","Infantil","4","29","KTM","Caldas","CLUB VILLAMARIA RACING CLUB","1","3","0"
"14","E-566","Nicolas castañeda ruiz","INFANTIL","1","32","Husqvarna","Valle del Cauca","Carasucias","1","--","--"
