"Pos.","N°","Nombre","Puntos","LIGA","MOTO","CLUB","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","206","Juan Martin HOYOS VASQUEZ","3","Antioquia","Yamaha","STUNT FIVE","Infantil mini","1:18.494","7","","",""
"2","255","Juan Jose LEYTON ERASO","2","Risaralda","KTM","CLUB LOS GUEPARDOS","Infantil mini","1:19.115","7","0.621","0.621",""
"3","319","Samuel BELTRÁN PRIETO","1","Tolima","KTM","GR 522 RACING","Infantil mini","1:21.236","6","2.742","2.121",""
"4","221","Jeronimo CASTILLO JIMENEZ","1","Bogotá D.C.","KTM","Xspeed Racing","Infantil mini","1:21.792","3","3.298","0.556",""
"5","101","Martín Silva OROZCO","1","Caldas","Honda","CLUB DE MOTOCICLISMO JP36","Infantil mini","1:22.128","5","3.634","0.336",""
"6","10","Isaak Dominic CAICEDO CALLE","1","Cundinamarca","KTM","CLUB SCOOTER PERFORMANCE GIRARDOT","Infantil mini","1:24.774","5","6.280","2.646",""
"7","717","Mariana ARISMEDI TRUJILLO","1","Bogotá D.C.","Cobra","Todo terreno track","Infantil mini","1:25.699","4","7.205","0.925",""
"8","33","Jorge Mario OCAMPO MEJIA","1","Antioquia","Cobra","CLUB ANTIOQUIA 2 RUEDAS RACER","Infantil mini","1:27.806","3","9.312","2.107",""
"9","499","Jared PEREZ CASTILLO","1","Quindío","Yamaha","CLUB RUTEROS DEL QUINDIO","Infantil mini","1:33.403","5","14.909","5.597",""
"10","157","Agustín ARAGÓN JIMENEZ","1","Quindío","Husqvarna","CLUB DISCOVER QUINDIO","Infantil mini","1:34.018","4","15.524","0.615",""
"11","133","Valery DIAZ VELASQUEZ","1","Bogotá D.C.","Cobra","Todo terreno track","Infantil mini","1:36.679","4","18.185","2.661",""
"12","E-209","Jeronimo alvarez durango","1","Valle del Cauca","GasGas","Club VALLE","Infantil mini","1:43.734","4","25.240","7.055",""
"13","927","Emiliano MENDEZ CANO","1","Risaralda","Husqvarna","CLUB LOS GUEPARDOS","Infantil mini","1:53.457","1","34.963","9.723",""
"14","11","Mathias OTALVARO MARULANDA","1","Quindío","Yamaha","CLUB DISCOVER QUINDIO","Infantil mini","","0","","",""
"15","312","Santiago Sánchez Jiménez","1","Valle del Cauca","GasGas","Carasucias","Infantil mini","","0","","",""
