"Pos.","N°","Nombre","Puntos","LIGA","MOTO","CLUB","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","114","Miguel Angel LOPEZ MARTINEZ","3","Quindío","Husqvarna","CLUB RUTEROS DEL QUINDIO","Juvenil","1:07.253","7","","",""
"2","12","Thomas MESA RONDON","2","Caldas","KTM","CLUB DE MOTOCICLISMO LA DORADA","Juvenil","1:08.931","8","1.678","1.678",""
"3","626","Juan Antonio PIEDRAHITA VARELA","1","Risaralda","Husqvarna","CLUB LOS GUEPARDOS","Juvenil","1:09.833","3","2.580","0.902",""
"4","113","Tomas VERGARA ARANZAZU","1","Antioquia","Yamaha","CLUB MOTOCROSS DE YARUMAL","Juvenil","1:10.336","6","3.083","0.503",""
"5","710","Juan David MENDOZA DUARTE","1","Meta","Husqvarna","VILLAVICENCIO RACING CLUB","Juvenil","1:10.701","4","3.448","0.365",""
"6","420","Esteban ARCILA ACEVEDO","1","Risaralda","KTM","CLUB LOS GUEPARDOS","Juvenil","1:10.821","7","3.568","0.120",""
"7","130","Santiago GUTIERREZ CASTILLO","1","Bogotá D.C.","GasGas","Todo terreno track","Juvenil","1:11.653","6","4.400","0.832",""
"8","139","Valentino ZULETA CARDONA","1","Antioquia","KTM","CLUB ANTIOQUIA 2 RUEDAS RACER","Juvenil","1:12.426","4","5.173","0.773",""
"9","120","Matias GOMEZ ORJUELA","1","Bogotá D.C.","KTM","Todo terreno track","Juvenil","1:12.791","8","5.538","0.365",""
"10","413","Samuel Emilio CAMACHO PAEZ","1","Bogotá D.C.","KTM","Xspeed Racing","Juvenil","1:13.004","5","5.751","0.213",""
"11","715","Joan esteban Valdez Osorio","1","Quindío","KTM","CLUB RUTEROS DEL QUINDIO","Juvenil","1:13.360","7","6.107","0.356",""
"12","815","kevin GONZALEZ PIEDRAHITA","1","Quindío","Husqvarna","CLUB DISCOVER QUINDIO","Juvenil","1:13.693","4","6.440","0.333",""
"13","527","Jean Pierre ARROYAVE ROJAS","1","Valle del Cauca","GasGas","Carasucias","Juvenil","1:14.709","8","7.456","1.016",""
"14","24","Esteban CARDENAS RUIZ","1","Quindío","KTM","CLUB RUTEROS DEL QUINDIO","Juvenil","1:14.866","4","7.613","0.157",""
"15","630","Samuel Andres PINTO DUARTE","1","Meta","KTM","VILLAVICENCIO RACING CLUB","Juvenil","1:15.318","3","8.065","0.452",""
"16","146","Gabriel Alejandro MESA ARROYO","0","Nariño","Yamaha","CLUB DEPORTIVO BUFALO XTREM","Juvenil","1:16.566","7","9.313","1.248",""
"17","822","Mateo Orozco vasquez","0","Valle del Cauca","Husqvarna","Carasucias","Juvenil","1:16.568","4","9.315","0.002",""
"18","313","Pedro BARDAWIL ZULUAGA","0","Tolima","GasGas","GR 522 RACING","Juvenil","1:17.505","5","10.252","0.937",""
"19","888","Maximiliano YEPES ZAMORANO","0","Antioquia","Yamaha","CLUB GRILLOS RACING","Juvenil","1:18.976","5","11.723","1.471",""
"20","66","Matias Mauricio Giraldo buitrago","0","Caldas","KTM","CLUB VILLAMARIA RACING CLUB","Juvenil","1:19.092","3","11.839","0.116",""
"21","805","Adrian Roberto HERMIDA GONZALEZ","0","Bogotá D.C.","KTM","Todo terreno track","Juvenil","1:19.432","7","12.179","0.340",""
"22","28","Sofia ESCOBAR HINCAPIE","0","Caldas","KTM","CLUB VILLAMARIA RACING CLUB","Juvenil","1:20.934","5","13.681","1.502",""
"23","615","samuel hernandez rabe","0","Valle del Cauca","GasGas","Carasucias","Juvenil","1:21.461","6","14.208","0.527",""
"24","149","Martin ARIAS","0","Valle del Cauca","Husqvarna","Club VALLE","Juvenil","1:22.974","3","15.721","1.513",""
"25","912","Laura Camila Bernal Cano","0","Quindío","Yamaha","CLUB DISCOVER QUINDIO","Juvenil","1:28.596","6","21.343","5.622",""
