"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","Q ","R1 ","R2 "
"1","114","Miguel Angel LOPEZ MARTINEZ","Juvenil","33","0","Husqvarna","Quindío","CLUB RUTEROS DEL QUINDIO","3","15","15"
"2","710","Juan David MENDOZA DUARTE","Juvenil","27","6","Husqvarna","Meta","VILLAVICENCIO RACING CLUB","1","13","13"
"3","420","Esteban ARCILA ACEVEDO","Juvenil","23","10","KTM","Risaralda","CLUB LOS GUEPARDOS","1","11","11"
"4","139","Valentino ZULETA CARDONA","Juvenil","19","14","KTM","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","1","8","10"
"5","12","Thomas MESA RONDON","Juvenil","18","15","KTM","Caldas","CLUB DE MOTOCICLISMO LA DORADA","2","9","7"
"6","120","Matias GOMEZ ORJUELA","Juvenil","17","16","KTM","Bogotá D.C.","Todo terreno track","1","10","6"
"7","626","Juan Antonio PIEDRAHITA VARELA","Juvenil","15","18","Husqvarna","Risaralda","CLUB LOS GUEPARDOS","1","5","9"
"8","130","Santiago GUTIERREZ CASTILLO","Juvenil","15","18","GasGas","Bogotá D.C.","Todo terreno track","1","6","8"
"9","413","Samuel Emilio CAMACHO PAEZ","Juvenil","13","20","KTM","Bogotá D.C.","Xspeed Racing","1","7","5"
"10","313","Pedro BARDAWIL ZULUAGA","Juvenil","7","26","GasGas","Tolima","GR 522 RACING","0","3","4"
"11","24","Esteban CARDENAS RUIZ","Juvenil","5","28","KTM","Quindío","CLUB RUTEROS DEL QUINDIO","1","1","3"
"12","815","kevin GONZALEZ PIEDRAHITA","Juvenil","5","28","Husqvarna","Quindío","CLUB DISCOVER QUINDIO","1","4","0"
"13","715","Joan esteban Valdez Osorio","Juvenil","4","29","KTM","Quindío","CLUB RUTEROS DEL QUINDIO","1","1","2"
"14","888","Maximiliano YEPES ZAMORANO","Juvenil","2","31","Yamaha","Antioquia","CLUB GRILLOS RACING","0","1","1"
"15","146","Gabriel Alejandro MESA ARROYO","Juvenil","2","31","Yamaha","Nariño","CLUB DEPORTIVO BUFALO XTREM","0","2","0"
"16","822","Mateo Orozco vasquez","Juvenil","1","32","Husqvarna","Valle del Cauca","Carasucias","0","0","1"
"17","805","Adrian Roberto HERMIDA GONZALEZ","Juvenil","1","32","KTM","Bogotá D.C.","Todo terreno track","0","0","1"
"18","630","Samuel Andres PINTO DUARTE","Juvenil","1","32","KTM","Meta","VILLAVICENCIO RACING CLUB","1","0","0"
"19","113","Tomas VERGARA ARANZAZU","Juvenil","1","32","Yamaha","Antioquia","CLUB MOTOCROSS DE YARUMAL","1","0","0"
"20","527","Jean Pierre ARROYAVE ROJAS","Juvenil","1","32","GasGas","Valle del Cauca","Carasucias","1","0","0"
"21","66","Matias Mauricio Giraldo buitrago","Juvenil","0","33","KTM","Caldas","CLUB VILLAMARIA RACING CLUB","0","0","0"
"22","28","Sofia ESCOBAR HINCAPIE","Juvenil","0","33","KTM","Caldas","CLUB VILLAMARIA RACING CLUB","0","0","0"
"23","149","Martin ARIAS","Juvenil","0","33","Husqvarna","Valle del Cauca","Club VALLE","0","0","0"
"24","615","samuel hernandez rabe","Juvenil","0","33","GasGas","Valle del Cauca","Carasucias","0","0","0"
"25","912","Laura Camila Bernal Cano","Juvenil","0","33","Yamaha","Quindío","CLUB DISCOVER QUINDIO","0","0","0"
