"Pos.","N°","Nombre","Puntos","LIGA","MOTO","CLUB","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","91","Sergio Martinez Aguirre","3","Caldas","Honda","CLUB VILLAMARIA RACING CLUB","200 Novatos","1:12.992","4","","",""
"2","108","Juan José López","2","Caldas","Honda","CLUB VILLAMARIA RACING CLUB","200 Novatos","1:13.930","2","0.938","0.938",""
"3","217","Hector Fabio Restrepo","1","Valle del Cauca","Yamaha","Carasucias","200 Novatos","1:14.728","1","1.736","0.798",""
"4","81","Santiago Garcés Jiménez","1","Cauca","Yamaha","CLUB CORONA CLUB XTREME PARK","200 Novatos","1:14.811","3","1.819","0.083",""
"5","88","Edison SAntiago GONZALEZ VELOZA","1","Tolima","Honda","CLUB PISTON RACING","200 Novatos","1:15.821","4","2.829","1.010",""
"6","172","Brian Stiven ALVAREZ GRISALES","1","Tolima","Honda","CLUB PISTON RACING","200 Novatos","1:15.862","6","2.870","0.041",""
"7","26","Rene Alberto ACOSTA CRIOLLO","1","Quindío","Husqvarna","CLUB RUTEROS DEL QUINDIO","200 Novatos","1:17.845","4","4.853","1.983",""
"8","24","Esteban CARDENAS RUIZ","1","Quindío","Yamaha","CLUB RUTEROS DEL QUINDIO","200 Novatos","1:17.853","7","4.861","0.008",""
"9","92","Nelson Osorio","1","Valle del Cauca","Yamaha","Carasucias","200 Novatos","1:18.343","3","5.351","0.490",""
"10","112","Jonathan Echeverry Toro","1","Caldas","Yamaha","CLUB VILLAMARIA RACING CLUB","200 Novatos","1:18.757","3","5.765","0.414",""
"11","216","Carlos Mario HERNANDEZ RAMIREZ","1","Quindío","Honda","CLUB MONSTER GARAGE","200 Novatos","","0","","",""
