"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","139","Valentino ZULETA CARDONA","15","Infantil","KTM","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","","1:19.902","11","","15:17.040"
"2","718","Emiliano IDROBO SERNA","13","Infantil","KTM","Risaralda","CLUB LOS GUEPARDOS","34.081","1:23.300","11","","15:51.121"
"3","121","Martin LONDOÑO VARGAS","11","Infantil","Cobra","Bogotá D.C.","Xspeed Racing","46.866","1:21.862","11","","16:03.906"
"4","888","Maximiliano YEPES ZAMORANO","10","Infantil","Yamaha","Antioquia","CLUB GRILLOS RACING","1:02.395","1:21.987","11","","16:19.435"
"5","138","Santiago BOHORQUEZ PULIDO","9","Infantil","KTM","Bogotá D.C.","Todo terreno track","1:02.430","1:25.731","11","","16:19.470"
"6","716","Thomas Andres MAHECHA CARRILLO","8","Infantil","Cobra","Bogotá D.C.","Racing pilots Academy","1:12.441","1:26.036","11","","16:29.481"
"7","729","Martin RODRIGUEZ ARANGO","7","Infantil","Husqvarna","Tolima","CLUB BUNDE ESPINAL","1:18.498","1:27.104","11","","16:35.538"
"8","717","Mariana ARISMEDI TRUJILLO","6","Infantil","Cobra","Bogotá D.C.","Todo terreno track","1:18.871","1:26.996","11","","16:35.911"
"9","629","Jaivert Israel GUZMAN MENDEZ","5","Infantil","Yamaha","Tolima","GR 522 RACING","1 Vuelta","1:26.711","10","","15:37.500"
"10","221","Jeronimo CASTILLO JIMENEZ","4","Infantil","KTM","Bogotá D.C.","Xspeed Racing","1 Vuelta","1:24.078","10","","15:59.277"
