"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","888","Maximiliano YEPES ZAMORANO","3","Infantil","Yamaha","Antioquia","CLUB GRILLOS RACING","","1:23.238","7","","10:17.343"
"2","139","Valentino ZULETA CARDONA","2","Infantil","KTM","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","0.288","1:23.352","7","","10:17.631"
"3","121","Martin LONDOÑO VARGAS","1","INFANTIL","Cobra","Bogotá D.C.","Xspeed Racing","3.076","1:23.152","7","","10:20.419"
"4","718","Emiliano IDROBO SERNA","1","Infantil","KTM","Risaralda","CLUB LOS GUEPARDOS","21.219","1:26.503","7","","10:38.562"
"5","716","Thomas Andres MAHECHA CARRILLO","1","Infantil","Cobra","Bogotá D.C.","Racing pilots Academy","35.262","1:26.491","7","","10:52.605"
"6","138","Santiago BOHORQUEZ PULIDO","1","Infantil","KTM","Bogotá D.C.","Todo terreno track","47.958","1:29.095","7","","11:05.301"
"7","729","Martin RODRIGUEZ ARANGO","1","Infantil","Husqvarna","Tolima","CLUB BUNDE ESPINAL","48.762","1:28.980","7","","11:06.105"
"8","629","Jaivert Israel GUZMAN MENDEZ","1","Infantil","Yamaha","Tolima","GR 522 RACING","1:11.368","1:32.859","7","","11:28.711"
"9","221","Jeronimo CASTILLO JIMENEZ","1","Infantil","KTM","Bogotá D.C.","Xspeed Racing","1:14.440","1:33.005","7","","11:31.783"
"10","717","Mariana ARISMEDI TRUJILLO","1","Infantil","Cobra","Bogotá D.C.","Todo terreno track","1:34.902","1:29.696","7","","11:52.245"
