"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","LIGA","CLUB","MOTO","Q ","R2. ","R3. "
"1","139","Valentino ZULETA CARDONA","Infantil","32","0","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","KTM","2","15","15"
"2","121","Martin LONDOÑO VARGAS","Infantil","25","7","Bogotá D.C.","Xspeed Racing","Cobra","1","13","11"
"3","888","Maximiliano YEPES ZAMORANO","Infantil","24","8","Antioquia","CLUB GRILLOS RACING","Yamaha","3","11","10"
"4","718","Emiliano IDROBO SERNA","Infantil","21","11","Risaralda","CLUB LOS GUEPARDOS","KTM","1","7","13"
"5","716","Thomas Andres MAHECHA CARRILLO","Infantil","17","15","Bogotá D.C.","Racing pilots Academy","Cobra","1","8","8"
"6","729","Martin RODRIGUEZ ARANGO","Infantil","17","15","Tolima","CLUB BUNDE ESPINAL","Husqvarna","1","9","7"
"7","717","Mariana ARISMEDI TRUJILLO","Infantil","17","15","Bogotá D.C.","Todo terreno track","Cobra","1","10","6"
"8","138","Santiago BOHORQUEZ PULIDO","Infantil","16","16","Bogotá D.C.","Todo terreno track","KTM","1","6","9"
"9","629","Jaivert Israel GUZMAN MENDEZ","Infantil","11","21","Tolima","GR 522 RACING","Yamaha","1","5","5"
"10","221","Jeronimo CASTILLO JIMENEZ","Infantil","9","23","Bogotá D.C.","Xspeed Racing","KTM","1","4","4"
