"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","206","Juan Martin HOYOS VASQUEZ","15","Infantil mini","Yamaha","Antioquia","STUNT FIVE","","1:26.508","8","","12:07.094"
"2","319","Samuel BELTRÁN PRIETO","13","Infantil mini","KTM","Tolima","GR 522 RACING","18.145","1:28.282","8","","12:25.239"
"3","221","Jeronimo CASTILLO JIMENEZ","11","Infantil mini","KTM","Bogotá D.C.","Xspeed Racing","21.971","1:28.998","8","","12:29.065"
"4","717","Mariana ARISMEDI TRUJILLO","10","Infantil mini","Cobra","Bogotá D.C.","Todo terreno track","22.372","1:28.703","8","","12:29.466"
"5","716","Thomas Andres MAHECHA CARRILLO","9","Infantil mini","Yamaha","Bogotá D.C.","Racing pilots Academy","28.570","1:27.294","8","","12:35.664"
"6","255","Juan Jose LEYTON ERASO","8","Infantil mini","Cobra","Risaralda","CLUB LOS GUEPARDOS","31.776","1:27.820","8","","12:38.870"
"7","10","Isaak Dominic CAICEDO CALLE","7","Infantil mini","Husqvarna","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","33.709","1:28.349","8","","12:40.803"
"8","133","Valery DIAZ VELASQUEZ","6","Infantil mini","Cobra","Bogotá D.C.","Todo terreno track","1:29.382","1:36.060","8","","13:36.476"
"9","927","Emiliano MENDEZ CANO","5","Infantil mini","GasGas","Risaralda","CLUB LOS GUEPARDOS","1 Vuelta","1:44.576","7","","13:19.924"
"NT","248","VICTOR ALFONSO RODRIGUEZ GARCIA","0","Infantil mini","Yamaha","Meta","CLUB DE MOTOCICLISMO SANTIHC 146","NT","","","",""
