"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","206","Juan Martin HOYOS VASQUEZ","3","INFANTIL MINI","Yamaha","Antioquia","STUNT FIVE","","1:27.634","6","","9:22.974"
"2","221","Jeronimo CASTILLO JIMENEZ","2","Infantil mini","KTM","Bogotá D.C.","Xspeed Racing","4.313","1:28.215","6","","9:27.287"
"3","319","Samuel BELTRÁN PRIETO","1","Infantil mini","KTM","Tolima","GR 522 RACING","6.306","1:28.182","6","","9:29.280"
"4","716","Thomas Andres MAHECHA CARRILLO","1","Infantil mini","Yamaha","Bogotá D.C.","Racing pilots Academy","13.855","1:29.058","6","","9:36.829"
"5","255","Juan Jose LEYTON ERASO","1","Infantil mini","Cobra","Risaralda","CLUB LOS GUEPARDOS","17.064","1:29.805","6","","9:40.038"
"6","717","Mariana ARISMEDI TRUJILLO","1","Infantil mini","Cobra","Bogotá D.C.","Todo terreno track","19.347","1:30.033","6","","9:42.321"
"7","10","Isaak Dominic CAICEDO CALLE","1","Infantil mini","Husqvarna","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","46.713","1:33.536","6","","10:09.687"
"8","133","Valery DIAZ VELASQUEZ","1","Infantil mini","Cobra","Bogotá D.C.","Todo terreno track","1:33.856","1:41.354","6","","10:56.830"
"9","927","Emiliano MENDEZ CANO","1","Infantil mini","GasGas","Risaralda","CLUB LOS GUEPARDOS","1 Vuelta","1:47.369","5","","9:43.350"
"10","248","VICTOR ALFONSO RODRIGUEZ GARCIA","1","Infantil mini","Yamaha","Meta","CLUB DE MOTOCICLISMO SANTIHC 146","1 Vuelta","1:52.103","5","","12:12.063"
