"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","LIGA","CLUB","MOTO","Q ","R2. ","R3. "
"1","206","Juan Martin HOYOS VASQUEZ","Infantil mini","29","0","Antioquia","STUNT FIVE","Yamaha","3","15","11"
"2","221","Jeronimo CASTILLO JIMENEZ","Infantil mini","28","1","Bogotá D.C.","Xspeed Racing","KTM","2","11","15"
"3","319","Samuel BELTRÁN PRIETO","Infantil mini","24","5","Tolima","GR 522 RACING","KTM","1","13","10"
"4","255","Juan Jose LEYTON ERASO","Infantil mini","22","7","Risaralda","CLUB LOS GUEPARDOS","Cobra","1","8","13"
"5","716","Thomas Andres MAHECHA CARRILLO","Infantil mini","19","10","Bogotá D.C.","Racing pilots Academy","Yamaha","1","9","9"
"6","717","Mariana ARISMEDI TRUJILLO","Infantil mini","19","10","Bogotá D.C.","Todo terreno track","Cobra","1","10","8"
"7","10","Isaak Dominic CAICEDO CALLE","Infantil mini","15","14","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","Husqvarna","1","7","7"
"8","133","Valery DIAZ VELASQUEZ","Infantil mini","13","16","Bogotá D.C.","Todo terreno track","Cobra","1","6","6"
"9","927","Emiliano MENDEZ CANO","Infantil mini","11","18","Risaralda","CLUB LOS GUEPARDOS","GasGas","1","5","5"
"10","248","VICTOR ALFONSO RODRIGUEZ GARCIA","Infantil mini","5","24","Meta","CLUB DE MOTOCICLISMO SANTIHC 146","Yamaha","1","0","4"
